#node1	node2
P42224	Q13287
P15336	Q96RU7
P04637	Q12873
Q7L5D6	Q8NBM4
O43809	O95400
P30260	P62993
P05106	P56199
O00574	Q16663
P62750	Q9NX58
Q9H2X6	Q9Y6I7
P68366	Q9BVA1
Q01082	Q6WCQ1
P05771	Q9H492
Q13546	Q96J02
P10275	Q15181
O15198	P51522
Q13227	Q99459
P17661	Q9HAU4
P08754	Q15759
O95999	Q9BXL7
Q8N5U6	Q9C0C9
P41091	Q13347
P35998	Q92597
P06400	Q06587
Q13255	Q14957
O75626	Q14938
P06241	P54253
P46778	P62987
P52597	Q9BWF3
P84103	Q08170
P54727	Q92466
O60331	P98164
P22301	P25105
P42772	Q99570
O43561	Q15464
P49888	Q9UKR5
P04350	Q9Y6G9
P02458	P09486
P04629	Q6S5L8
P00519	Q38SD2
P37173	Q12931
P19429	Q14738
P09919	P42701
P11233	P45984
Q15834	Q9BUY5
Q70Z53	Q9NX46
O43318	Q00610
P09769	Q6S5L8
P01871	Q99856
P01106	Q9NZW5
P62273	P62979
9757	Q14686
P24394	Q8WXH5
P10586	Q6S5L8
P02461	P18084
P62829	Q12933
P32121	Q8NGD4
P18077	Q96BK5
P01892	P10966
P23396	P62841
Q15366	Q9BYX4
P30153	P84022
P35221	P62736
Q15287	Q9P2I0
P49840	Q9Y243
Q68EM7	Q9HBH0
P32246	P80098
P49841	Q15459
P13569	Q16236
P62258	P68371
P49450	Q02224
P62993	Q9Y4H2
O00585	P51684
P60709	Q07666
Q13535	Q9UPV0
O60493	P62993
O60343	P31749
P58107	Q15149
P15153	Q8WYR1
P02751	P40337
O14936	Q9Y2J2
P13725	Q01113
P49454	P57740
P18074	P32780
P10914	P15260
P14136	P23297
O00468	P54259
P16220	P49674
O14610	P48039
P56192	Q9Y4K3
O75251	P03897
O14775	Q13698
P0C0S5	Q99880
O00626	Q01201
Q7L7L0	Q99879
P61160	Q13573
P08582	Q9UMX0
Q58A45	Q96DU9
P33778	Q8IUE6
O95072	Q14738
Q15047	Q15714
P19320	P19838
O15479	Q9Y3U8
P45973	Q02539
P10451	Q8WYA6
P01903	P48382
P68104	Q9HCU9
P63104	Q9H307
O15520	Q14512
Q02790	Q9Y572
P14921	Q16236
P0CG13	Q13541
Q96FJ2	Q96LC9
P22528	Q15853
O15121	Q8IVH2
P0C0S5	P62875
P33778	Q9P0M6
P42768	P50552
P19876	P49682
O60721	P16333
P14678	Q15477
P46734	Q13573
P28482	Q9UQM7
P06400	Q8WUA4
P62070	Q8TDF6
Q00005	Q15717
P61077	Q99496
O60684	Q9GZT8
O00585	P13611
O75051	P06241
O00221	Q01201
P01871	P15391
P26951	Q8IZI9
P16188	P30450
P30613	P36956
O75508	O95049
P62837	Q86UD3
P32881	Q01113
Q13501	Q9Y4K3
P08581	P10767
P20226	Q03060
Q49AN0	Q9UF56
P51991	Q14683
P08134	Q14185
O75128	Q9BY11
Q93074	Q9NPJ6
O14593	P52272
P14598	P60709
P01569	P52333
P19388	P52434
P43307	Q92611
P24723	Q9ULK5
Q16531	Q99459
O00220	P50591
P07332	P24394
O75161	P01106
P18074	P19447
P51991	Q9GZS1
O00339	P02462
P60953	P62829
P61981	Q6UUV7
P28066	P60900
P0CG47	Q9NVI1
O00329	P16234
407021	P56817
Q01844	Q9H094
P51571	Q9HC24
O00217	P17568
P42338	Q13393
P31629	P61981
P01116	P27986
Q9H0E3	Q9Y6J9
P60709	Q04206
O00264	P48039
P23443	Q9Y243
P15260	P29460
P02751	P05106
P08670	Q7L5N1
O96013	P53671
P0C0S8	Q16778
Q00994	Q92574
P08138	P20073
P28749	P51610
Q07444	Q15596
P51610	Q9Y5Z7
Q96B33	Q9UDY2
P43355	Q13547
P52434	Q9H9Y6
Q01196	Q9Y4K3
P56645	Q03052
P05113	P17181
P10398	Q92614
P61586	Q6ZUM4
Q9H761	Q9Y383
P22626	Q8IWZ8
P07814	Q00653
P15018	Q99650
P84090	Q92905
P82979	Q13838
406881	Q9H9Z2
O15355	Q13568
O60721	Q9H2G2
P14316	P85037
Q14152	Q14164
O43318	P45983
P21741	P22735
P21359	Q99459
Q13557	Q70SY1
P02452	P07585
O75626	Q96DX7
P16220	Q9ULZ3
P23508	P78396
P07900	Q9UKP3
P09914	P35222
P02775	Q13794
P25963	Q99570
O60346	P31749
P62805	Q9BZK7
Q92847	Q9UBU3
P14625	P31751
P05549	Q5SW96
P25025	Q92994
P43694	Q13469
P56856	P78369
P46379	P61006
O75420	Q16773
Q13237	Q9Y6F6
P13569	Q9NZN1
Q9UBT6	Q9UBZ9
O15519	Q15628
P53779	Q9NYJ8
P01570	P16871
Q99459	Q9BWT7
P62987	Q16659
Q03135	Q9H1Q7
Q01094	Q7L590
O15243	P48357
P12273	Q13315
O14827	Q07889
26765	P49848
P58340	Q9UHY1
P05106	Q12929
P09012	P52747
P22681	P30530
P35626	Q15612
P46092	Q9H2A7
P19838	P60660
P04843	Q09028
P48736	Q9NPH3
406890	Q92945
P01106	Q96JB3
O43257	Q16539
O75578	Q13797
Q12778	Q13627
P18031	Q9Y4H2
145781	Q9NVV9
O95865	P61224
O14686	Q03164
Q8WZ42	Q9UHX1
Q13573	Q13838
P67775	Q9Y698
P18031	P62993
P60900	Q16186
P0C0S8	Q7Z2G1
P01241	P31785
P46379	Q15714
P01889	P30046
145781	B2RTY4
O76094	Q13573
P55036	Q9UHD9
P55268	Q496J9
Q13573	Q8IWX8
P52948	Q9BW27
O43251	Q93062
Q13188	Q9H814
P51617	Q9Y5V3
P17081	Q9P286
P63279	Q9NVP2
P38484	P40225
P06400	P38398
O75581	P56704
P18146	P42785
O43157	P15153
O15553	O43586
O14561	O95182
O14672	P25024
P63104	Q6AWC2
P16234	Q8WYR1
P52630	Q00005
Q14966	Q15834
P60763	Q9NR80
O95685	P31749
P17612	Q16558
P63162	Q15393
Q3ZCQ8	Q9BRX2
Q01105	Q14164
P25963	P62987
P11802	Q8IZ69
P33552	Q9BQA5
P11586	Q9P2S5
Q96HB5	Q96L14
P04156	P05067
P08754	P45984
P01889	P13797
Q01101	Q92796
P63173	P83731
Q9UBB4	Q9Y2Q3
Q8NFH3	Q92621
P68400	Q9Y5B9
P60763	Q9H0H5
Q13885	Q9BTW9
P68363	Q96RT7
Q8N6Y0	Q9UJW9
406906	Q9BWH2
P26639	Q9Y4K3
Q14197	Q96GC5
P01106	Q9HAV4
O00238	P22003
P62136	Q96GM8
P53618	P56975
O15397	Q9UKV8
P35579	Q07890
P15509	P17947
P30153	Q06190
O43570	Q16659
O60341	Q13535
O43353	P08670
Q8WVZ9	Q99728
P05093	P08651
O15524	P52735
O00555	P09471
P09874	Q9NQB0
O00329	P42702
P06576	Q9P2G9
O14920	Q00610
O75676	P01100
P10275	P43364
O43795	P01106
P30307	P31946
Q13573	Q14839
O95218	P49407
P49593	Q13131
O76071	Q96A35
O43390	P78527
Q00722	Q9UK08
O00193	Q75N90
Q08170	Q15365
P06213	Q12913
P20042	Q13432
P60002	Q49AR2
P36897	Q9BQI3
P38432	Q8IYF1
P11047	P23229
P22607	P29353
P25705	P30049
O95989	Q14802
P51817	Q9HAV0
O43791	P28702
Q7Z2V1	Q96S99
P24864	Q9UMX0
P51686	Q99731
P53708	Q05397
Q86W42	Q8NI27
O95990	Q9Y2I6
P12319	P30273
O95602	Q13315
O15198	P47897
P01579	Q03060
P04899	P27361
O75150	P33778
O14604	Q01844
P48357	Q13526
P08134	Q96QB1
P39019	P62273
P13535	P63261
P26006	P56945
P07332	Q9UIW2
Q8IZP0	Q9Y2A7
P56537	Q9BX66
P53350	Q71F23
P17948	Q9GZP0
Q13564	Q8TBC4
Q13315	Q8TCS8
O94776	Q96T58
P62280	Q8IXH7
P16499	P51160
Q7Z2G1	Q9BTM1
P51693	Q99547
343477	P01889
O43264	Q9UFG5
Q02763	Q92914
Q01130	Q13243
P08183	P25208
O43252	P68104
Q96MA1	Q9GZT8
O95402	Q9BUE0
O60729	Q9BS18
Q92597	Q9Y230
P38405	Q8NH85
P17252	Q68DD2
O14974	Q9H8Y8
O00483	Q9NX14
P22392	Q16576
P07910	P38159
P24941	Q99728
P09529	Q04771
P06239	Q16827
O15530	P17252
O75643	Q14164
O75970	P56746
P28222	Q9UK08
P04637	Q9NQW6
P46108	Q9UBM4
Q99612	Q9NRX1
P49639	P55347
O94921	P31946
P29350	P38484
Q00994	Q12933
P29992	P47712
O43251	Q9BTD8
P22736	P48443
P52564	Q13177
P19235	Q16619
Q13315	Q15021
O75956	P26641
P55160	Q9NYB9
P06241	P46013
P11831	P17275
O15519	Q13077
P25054	Q99814
P0C5Y9	Q96A08
P55210	Q14457
P05129	Q86UR1
P30480	P40616
O60341	O95983
P27986	Q9UBS5
O00170	P08238
O14530	Q12873
Q14164	Q96CV9
P08754	P51817
P46527	Q02156
O95685	Q9UD71
P22674	P52735
P04637	P23297
P32321	Q8TAP6
P48443	Q93074
P26641	P60953
P11940	Q9BPZ3
P07858	Q9BPY3
O15047	Q9UPP1
P10914	Q13263
P07288	Q16777
O75081	Q9Y2D9
P29350	Q8TDQ1
P49736	Q9UBU7
P53805	Q99558
P43250	P51681
O15169	P39687
P29323	P52799
Q9BTP7	Q9HB96
P35968	P55075
406900	Q96J02
P16520	P63092
O60262	P43657
P98170	Q8WVN8
P18564	P55268
P16104	P62158
P02545	P62993
Q96CF2	Q9H444
P10275	P30281
P32969	P47914
P35626	Q8NGF8
O00220	Q13158
P35558	Q9UGJ0
Q8TDR0	Q9NTJ3
P01562	P01589
Q07889	Q13813
O43809	Q8WWI5
P61077	Q9NQW7
O00459	P10827
Q8WYL5	Q9Y281
O94817	Q9Y3D9
P62753	Q6R327
Q07890	Q969Y2
Q9NRF9	Q9NRG0
P52333	Q99665
Q14197	Q9NUL7
P49366	P62330
P47224	Q6YP21
Q14164	Q9HBG4
P54619	Q13131
P16333	Q86UR5
P28566	P62873
P25054	P49840
P35590	Q03014
P24539	Q8N806
Q13362	Q13698
Q13315	Q9UFC0
O94817	Q16540
P84022	Q13873
P78527	Q9H0E9
P47914	Q9NY93
Q9C0F1	Q9P2A4
Q8TAE8	Q9NPD3
P55157	Q8WX92
P49810	Q9NZJ5
Q13535	Q9Y4R8
P53779	Q07812
O60244	Q9BTT4
O75940	Q14974
P59768	Q08828
P04843	P30480
P01111	P28482
Q2M1P5	Q86VH2
P01579	P18846
P07949	Q13480
100008587	O60264
P38405	Q9H344
Q14155	Q9BZW8
P31751	P46527
O95299	Q86Y39
O60506	P01106
Q9UM11	Q9Y6D9
P01308	Q9UK32
O15230	P18084
Q8IZ83	Q9BRP4
P05423	Q9H1D9
Q9C099	Q9NWQ9
P62195	Q96SN8
O95757	P62330
P18146	Q05952
P28482	Q9Y5K3
P18146	Q5THR3
O60477	P10275
P40616	Q9HAW0
O43281	P62993
O14733	P45985
Q9NZZ3	Q9UQM7
P12270	Q9NRG9
P10301	Q15283
Q16363	Q496J9
P30825	Q15717
Q08170	Q9H307
P05106	Q13418
P14317	P18858
P30793	Q99962
P62745	Q9Y484
P33764	Q9UQ07
Q12906	Q13535
P49454	Q9UM73
P20823	Q13185
O75746	Q9BUV8
O14654	P06213
P09471	P61421
P17028	P57086
P62424	P62750
Q8N3R9	Q8NI35
P31749	P41279
O43889	P51681
O00746	P01106
P15976	Q16659
P17936	Q12789
P08107	P20333
O60262	Q08828
P00519	Q9ULH1
P38405	Q8NGX8
O94985	P62805
O14639	P19012
O15530	Q9H6R7
P10912	P29597
P50053	Q9H6Z4
P01375	Q07889
P40337	P62249
O60739	P12532
P05060	Q13951
P07711	P68431
P62847	Q00653
P10398	P45984
Q7L4I2	Q9NRR5
Q02930	Q13555
P35626	Q8NGG7
P50150	Q92633
P33681	Q00653
P35221	P60709
O43918	P13010
P40337	Q15843
O75448	Q9NX70
P24941	Q01469
P06576	Q13526
P04424	P47897
P41586	Q9UBI6
P49768	Q07817
O95433	Q14315
P08833	P60510
P13725	P52333
P01589	P35225
P46777	P62888
O00303	P47813
P17612	Q15361
P43487	Q9UKE5
Q86WJ1	Q99459
P49674	P61981
P05388	P50914
O75554	P61978
P30154	Q16537
O14939	P01111
P43403	P46109
P62805	Q86Y97
P19387	P62487
Q16665	Q9UNQ0
Q15149	Q99459
P45983	P98177
P20963	P43405
Q02556	Q9BT78
P31689	P35914
P22314	P22557
P22681	Q9HBE5
O60583	P06400
P31751	Q9H7J1
O94855	Q15436
Q06323	Q15047
O14967	Q6SZW1
O15162	Q9BVI4
Q9NX09	Q9Y297
P35398	P63165
574032	P03372
O14802	P61218
O76071	O95995
P18146	Q9H4A5
P63000	Q9Y2Y0
P61956	Q96JQ0
O00744	Q9ULV1
P01889	Q13200
P01562	Q9HBE5
P63104	Q9NSK0
O95622	Q9HAV0
407021	P27986
O60381	Q16186
Q5TD97	Q9P2E2
P48729	P62745
O43182	Q9H4E5
P55060	Q13573
P48061	P49238
O75528	Q96ES7
P0CG48	Q6FIF0
P35221	P35222
P49336	Q9Y2X0
P10636	Q15078
P00533	P05787
P17535	P45983
P54105	Q9Y333
O60610	P63261
P14174	Q92956
P51668	Q9C040
Q96GM8	Q9Y5S9
406953	P38936
O95832	Q8N7P3
P62714	Q7Z3S7
O00327	Q16526
O00501	O95049
Q13616	Q9UKB1
P05556	P15529
Q14197	Q9BYD6
P01106	Q00341
Q15843	Q9Y297
P30480	P41250
P21709	P52797
P10646	P12259
P10636	P37840
Q9H6R7	Q9Y3C7
Q6R327	Q9Y243
Q9NS73	Q9ULM3
P63104	Q14978
P02452	Q13797
P60228	P62330
P98164	Q12959
P23396	P62277
O95980	P04626
Q15797	Q96NW4
P18850	Q68CJ9
Q93062	Q96K80
P61077	Q8IUQ4
P17302	Q13164
Q12996	Q99459
P32418	Q13976
P24385	Q6PML9
P62807	Q71UI9
P08047	Q15759
P05107	P08571
P29350	Q92734
Q7L1Q6	Q8TCU6
P28065	Q99436
Q96A23	Q99829
O00299	P62330
P17813	Q15654
Q13748	Q9NRH3
P60903	Q92934
Q13573	Q9Y5K5
Q14738	Q9BXT2
P40337	Q9BRT2
O14978	Q9Y5X1
O95622	P05129
693123	P30304
P62745	Q5JSL3
P20248	Q12834
P05067	P23142
P61956	Q06609
O60477	Q9NYJ8
P28482	Q9UQC2
Q10570	Q9C0J8
P15311	P17612
P27482	P40145
Q99750	Q9P0T4
Q14315	Q9H4A3
Q04771	Q9NW61
Q00722	Q9ULW2
P60880	Q12846
A6NHA9	P38405
P61201	Q92905
P52564	Q16584
O00182	P20701
P62829	P62913
P43686	Q9BRP4
P11233	Q3MIN7
P51681	Q8TF21
P23634	Q9NS23
P20936	P21860
P12956	P25963
Q92608	Q96L33
P10914	P67809
Q16629	Q8IWZ8
P54646	Q96B36
P01579	P19235
P31946	Q8N1I0
Q969G3	Q9UKL0
P63215	Q14833
P46781	P62847
P07947	P10721
Q8IZJ1	Q9Y5P8
406912	P20749
P10914	Q92985
P04049	Q6TCH7
P45983	P51817
P61968	Q9UK32
P28482	Q9UBI6
P35626	Q8NGL4
A6NM45	O95484
O14490	Q9H2G2
P01583	Q9NWZ3
Q16539	Q9NYJ8
P83731	Q9Y3U8
Q6DT37	Q9UHD2
Q96B97	Q99963
P11474	Q92786
P56199	Q14315
P04181	P78396
P54274	Q9UKT5
P10451	Q9NRR5
O75365	P78344
P06241	P51587
Q13596	Q96QK1
O95861	Q14164
P19174	Q68DD2
O95376	Q9Y2X8
Q96KM6	Q9UIS9
P32780	P51946
P38484	P52333
O75131	P47897
P51679	Q9NZN8
P61244	Q16539
O43570	P36542
Q149N8	Q9NS91
O75928	Q9Y2L1
P42771	Q92993
P02458	Q15582
P56537	P67870
O95467	Q9HAV0
O95786	Q13114
Q9BZS1	Q9H334
P07996	Q08722
P26006	P53420
O15105	Q99717
P15153	Q92558
O95257	Q5RL73
P35626	Q9H209
P31152	P53355
Q8IY92	Q9GZU8
Q9NU22	Q9UET6
Q13435	Q99459
P32456	Q12972
O00175	P25025
P35268	P46778
P51681	Q9NRR5
Q9H270	Q9UNK0
P06753	P23508
Q14192	Q9UHX1
O43639	Q8IZP0
C9JDP6	Q9UDY2
Q9UEU0	Q9UNK0
P32519	P34810
P52943	Q96AW1
P62736	Q07889
P42575	Q9HB75
Q15366	Q92620
P31995	Q15788
P11802	P30281
P98171	Q92730
P29317	P98077
P40145	Q9HAV0
Q96GM5	Q9UJX2
P0CG47	P16104
P05121	Q9UBX5
P56537	P63279
P35354	Q13616
Q8WV22	Q96SB8
P35626	Q8NHB7
Q13616	Q8TCJ0
O43318	O95163
Q6ZYL4	Q92759
Q09028	Q9HCU9
P01137	Q8WXI9
P62191	Q9Y4K3
O60610	P60709
P30450	Q9NYU2
P02462	P26012
P14778	Q9NPH3
P22392	Q96QV1
P62945	P83731
P15170	Q9NR09
O60739	Q01105
P35346	Q9UBU3
Q96A65	Q96EV8
O00221	P08238
Q5UIP0	Q9H1D9
Q9BUE0	Q9BWU1
O43187	Q6SZW1
P23141	P58062
P14859	P52747
P32121	Q8NGZ5
O75398	Q16543
P61964	Q9NZJ0
Q5VTD9	Q96JN2
P22090	P62851
O15265	Q12962
P15884	Q9UPN9
Q12778	Q8IXJ6
P53803	Q9HCS7
O43353	Q8N5C8
P42677	P62277
Q14197	Q9UJZ1
P14649	P62736
P05386	P35268
P62333	Q9UL46
P33993	P60520
O75506	Q9Y3C0
Q9NXF1	Q9UL18
O00217	Q9P0J0
P22694	Q06432
P62807	Q9UBL3
P35968	Q12913
P05107	P27348
P62136	Q13464
Q16881	Q96I34
O96017	Q12972
P15153	P98171
O15111	O94832
Q13257	Q9UJX2
O95467	P35372
P10276	P47902
P22301	Q9HBE5
P18146	Q92569
O60602	Q9NWZ3
Q05397	Q08722
P12110	P53708
P41743	P63104
P25398	P46783
P01106	Q12770
406881	P01106
P22105	P23229
O60739	P46783
O95067	Q17RY0
Q8TC12	Q9HCK4
P51610	Q9UPP1
P42677	Q9NQC3
O00161	O15126
P62136	Q9UPR0
Q13387	Q8TAM1
P02647	Q68CZ2
P13805	P54257
P27986	P60763
P62807	Q8WUI4
P06454	P37198
P05114	P16403
P12314	Q13094
P35226	Q8NDX5
P42224	Q13813
Q16539	Q9P2K8
P17301	Q16363
P35227	Q8IXK0
O14933	O43164
P01889	Q01813
P28340	P49005
Q15545	Q8WTS6
Q08209	Q9UJX5
P36954	P52434
P09651	P61978
O95793	P62753
P01116	P22607
O60828	Q9UKR5
Q08334	Q9GZX6
P27986	P40189
Q96KM6	Q9BRK4
P42680	Q9UKW4
406937	Q16658
P09455	Q9H7L9
O60739	Q9UN86
O95619	Q99459
P16298	P30260
Q04759	Q9H0R8
P09466	Q5T3J3
O15169	O95996
P31941	Q9NZQ3
Q14974	Q9Y4K3
P63104	Q96HR9
P16333	Q8IZP0
P09681	P27487
P0CG48	Q9UK53
P35221	P63104
P61981	Q13627
P17980	P61289
P56545	Q3ZCQ8
O95467	Q8TDV5
P37198	Q7Z3B4
Q15427	Q9BWF3
Q02556	Q8IZI9
Q13315	Q6NZY4
O95166	P28472
P47914	P62945
P02462	P16070
P27986	P30086
P62937	Q08209
P11171	P22307
P05067	Q9P2D7
P25098	P35372
O60684	Q9UI14
O14641	Q969F2
P40692	Q13315
Q96QC0	Q9NYB0
P62987	P63173
P35222	Q15910
P51817	P62873
P25788	P28072
Q06330	Q86X95
P62263	Q9Y2S0
P98077	Q02763
P01023	P09038
P54727	Q9UMX0
Q14197	Q9Y305
P21860	Q9H4P4
P51965	Q92560
O00327	O15534
P51665	Q13200
O75626	Q04725
P05412	P20702
P14174	P16220
Q8IUX8	Q99962
P61201	Q9UBW8
Q9UNS2	Q9Y239
Q8WXD9	Q9UM73
O15392	Q15329
406906	Q5T6F2
Q04206	Q9Y618
406954	Q9NRR4
P04049	P05129
O15265	O75529
O00471	P35658
O15264	P40227
P16144	Q92569
O94817	P46821
P00519	Q15303
O95166	Q32NB8
P25116	P34947
P11216	Q9NZT1
P22612	Q13733
P06400	Q92966
P51617	Q96A33
P10321	P43630
P18146	P46059
O75030	P51532
Q13315	Q8WXF1
P15170	Q92900
P78396	Q92615
P63151	Q04206
P06213	Q9HCT0
406891	P01112
P00519	P21333
P49841	P52742
O95619	Q9GZN1
Q13370	Q9UQM7
P10644	Q14432
O15287	Q8N2Z9
P30279	P38936
P55157	Q9UN72
Q16537	Q96Q15
P04637	P57723
P61981	Q86X27
Q05513	Q9NRA0
Q15797	Q96KM6
P52757	P60763
Q9NPH3	Q9Y3B3
P54253	Q9H7H0
O43924	Q8IW50
O00574	P35626
O43353	P17066
P51684	Q9NRJ3
P05231	Q969J5
P28482	P62136
P40145	P62873
P35225	P38484
P30305	P45984
P69849	Q9NRR5
P38405	Q8NGY9
Q96L33	Q9P227
O75581	P49841
P24941	Q13112
Q99728	Q9NXR7
P48431	Q9H3D4
Q93079	Q96QV6
P25788	P54259
P26599	Q13247
P35227	Q9NPD8
A1A4S6	Q92730
Q13158	Q9H1Y0
O95182	P03905
O96019	Q96GM5
Q92730	Q96N67
Q13315	Q99592
P62993	Q9H1H9
O00222	Q9P2W3
Q2M3C7	Q9NYA1
P17028	Q15047
P29401	Q9UET6
Q13546	Q9NYJ8
Q05193	Q8IWF7
O75581	Q9H1J5
Q08554	Q9Y446
O43927	P32302
P49918	P78396
P16104	P16278
O00253	O43741
O95398	P53779
P08581	Q9HCT0
Q8N2W9	Q92985
Q08117	Q16539
P20827	P54764
P24522	P52564
P84095	Q07157
P05556	Q8WYR1
O60739	P12004
P10636	P43004
Q86W26	Q9ULZ3
O75528	Q9NR33
O95990	Q15834
P08238	P49588
Q96S52	Q9H490
Q14512	Q14526
O14775	P35462
P08253	P29400
P32121	Q96R47
P06241	Q14185
Q9H0C2	Q9Y277
P22694	P54619
P08575	P49023
P54259	Q96QZ7
P60174	Q16659
P15151	Q9NQS3
O00744	O75084
P11216	P12814
P35398	P51843
O94864	P01106
Q15038	Q5VWP2
P16471	P23458
P12036	P41219
O95197	Q2M1K9
P54259	Q8IUQ4
P01243	Q13347
Q9UHD0	Q9UHF4
Q53EZ4	Q86XT2
O95786	Q15365
P62837	Q99496
