#node1	node2
O43609	P22681
P04350	Q15628
P04839	P13498
O14641	Q99466
O75023	P12318
Q13509	Q8WWQ0
O43353	Q13469
P35609	Q15942
O75594	P63104
Q9BQ95	Q9NRL3
P78545	Q15008
P16471	Q8WXH5
O75365	Q9Y5L0
P22694	Q14957
Q13315	Q8IZL2
P51114	Q5T3J3
P51149	Q71U36
O00442	P62910
P29597	Q8NEB9
P40692	Q9UJX2
P03372	Q9Y6X2
P14635	P25054
P05412	P18847
P08047	Q15306
P05412	P08047
406906	P98196
P20963	P58753
O15379	P10828
Q04837	Q14197
P09429	P21675
P53779	Q15759
P41271	P46379
Q13535	Q16851
P21802	Q92914
P25791	Q02575
Q8IYB3	Q9BUJ2
Q9GZN1	Q9Y230
O00329	O00459
O60232	P15924
P48051	P50150
P26441	P48357
Q9BQ66	Q9UKJ5
Q6WKZ4	Q9H4M9
Q14134	Q9BRK4
O95786	Q9NQC7
P11171	P61604
P22626	Q86V81
Q15750	Q9NWZ3
Q14197	Q7L0Y3
Q13616	Q7Z6M2
O00193	Q9Y6H5
Q0VDF9	Q9H816
P26368	Q12986
P62917	P84098
P06127	P21854
P07910	Q13526
406977	P08581
P28749	Q92994
P18146	Q9ULV5
P50150	Q8TCU6
P16220	Q96CH1
Q8WYR1	Q9UK08
P53539	Q13485
A8K6C2	Q01344
P10415	Q13526
Q9BS40	Q9Y266
P63000	Q96N67
P09874	Q04206
P62256	P78317
O95402	Q9UHV7
P01568	Q9HC73
P61457	Q8TBB1
P38159	Q15428
P11171	P84022
P29350	Q9UQC2
P30304	Q9NYV4
Q13043	Q8WWW0
Q13045	Q32MZ4
P14136	Q96HA1
100008588	P53803
O00329	Q9ULV8
O14639	O95751
O00574	P10147
P51587	Q8NEM0
O43513	Q9BTT4
P19429	P67775
P09769	P63096
P17612	P17861
P15153	Q13177
P62837	Q9Y297
A8MTJ3	Q7RTX0
P0CG48	P61224
O75084	Q9H1J7
P35590	Q03014
Q00653	Q07817
P32121	Q8NGJ4
P09012	Q9UKA9
P16885	P29474
P98161	Q05397
O43734	Q13077
P04141	Q12824
O15151	Q9UER7
P11142	Q8NC60
P10644	Q16659
406928	Q15596
P06493	Q17RY0
P12111	P26012
A6NIT4	Q9UHF4
P59768	Q9H1C0
P01589	P05113
P28702	Q71F56
P46779	Q13485
P55769	Q13573
P23677	P27482
P22362	P32246
P42575	Q9HB75
P63000	Q9UN19
Q93077	Q9BY41
Q00610	Q12933
P00533	P11487
P30613	P35557
P49841	Q12879
O43741	Q13131
Q7Z4H7	Q9Y580
P51946	P67870
Q96L33	Q9P107
P19013	Q5VYV7
P01112	Q16539
P08107	Q04206
Q16576	Q9UKG1
P62837	Q969Q1
P31947	P56945
P10415	Q66LE6
P06493	P30260
P18848	Q16520
P04406	P52756
P61353	P62888
Q8N474	Q9NY61
P12081	Q9Y4K3
P06241	Q12947
P58753	Q86XR7
P48552	P63279
P08069	P35568
P41743	Q9HD67
Q13153	Q13418
P02766	Q9UKR5
O00198	Q16548
P53355	Q13164
P62993	Q92935
Q9HCH5	Q9UET6
P50213	Q96PM5
P31947	Q12788
O43347	Q96DU9
Q14558	Q9UKE5
P51681	Q8WTQ7
O60232	P48643
P08572	Q15038
P30480	Q13200
P43358	Q86WT6
O15379	Q06330
Q14164	Q9Y277
P16144	Q12772
P11362	P42336
O94776	Q99459
P30679	P35348
Q01094	Q96B01
Q8WUW1	Q96F07
Q15654	Q8TED9
Q05823	Q15646
Q99717	Q9Y3E7
Q15046	Q92569
P19174	Q86YH6
P30622	Q14203
O75822	Q16890
P05556	Q8WYR1
O14986	P63000
P51816	P62993
P11171	Q99623
P01106	P28331
693190	O94855
Q07866	Q6UWE0
P50148	Q9HBW0
P32302	Q16663
P05113	P26951
P01563	P26951
O15123	Q12778
O14513	P16333
O00716	Q9UQC2
P02778	P10914
P61604	Q86XK2
P11171	Q01469
P62241	Q13233
P54619	Q16822
O00483	O43676
Q15119	Q9Y243
Q13200	Q9UL46
Q8TEY5	Q92793
P16220	Q86XU0
O43674	Q16795
P38398	Q13363
O14730	O60641
P18146	P29353
P25445	Q14790
P84095	Q13009
O15264	P06733
P54259	Q6ZWJ1
P37173	P61586
P52907	Q6IBS0
O95711	Q9Y6Y9
P01892	P43631
Q96JB2	Q96MW5
O00329	P23458
P98077	Q16288
P07237	Q9UMX0
Q12778	Q13131
O60934	Q15554
P62750	Q92901
P62304	P83369
P10275	Q13888
O14908	P17813
P04183	Q8IZ69
P42166	Q9NX70
P29597	P42336
O15399	P41594
P05388	P62888
P26373	P46776
P04234	P06241
O00743	O75170
P41235	Q12778
Q10570	Q9C0J8
P11802	Q05516
P23528	Q8WYL5
O43353	Q8IUC6
Q00839	Q13151
P55735	Q15436
Q71UI9	Q92769
Q12873	Q13547
P08047	Q92793
P15509	Q9ULV8
P13498	Q16539
P19838	P35579
P07199	Q13526
P43146	Q6UXZ4
P22670	Q9Y5V3
P10301	Q9P212
P17612	Q93100
P35626	Q8NGF6
Q8TCG1	Q9Y4K3
Q5UE93	Q7LC44
P42702	Q9NYY1
P01100	P01116
P04075	P16104
O43395	P41235
O43353	P04350
A6NHG9	P32121
P53779	Q99541
O15230	Q13797
O43516	P16333
O75489	Q16795
P25705	P62993
P08238	Q13546
P26641	Q8IZ13
P04141	Q9UHF4
P21796	P30480
P00519	P29317
Q08289	Q15172
P23470	P46459
O95622	P05771
P07196	Q15759
P46781	P62269
P01569	P26992
Q14571	Q9UQM7
P05388	P18621
P43489	Q13077
O00748	Q01094
P05787	Q2TAY7
Q13555	Q9NY47
P42771	Q9UM73
Q9UL18	Q9Y3B4
P05129	P61586
P05060	Q99700
P05556	Q17RW2
Q8TC90	Q99750
O75508	O95832
P53567	Q10587
P08559	P52429
P16144	P49747
P31751	Q15172
P19429	Q969Q1
Q9H9F9	Q9Y230
Q12933	Q86TN4
P63261	Q14247
P01106	Q10570
406995	Q15796
Q13114	Q86WV6
P05107	P42336
P05106	P25391
Q9H361	Q9UL18
P01106	Q8TAQ2
P01850	P01911
O14508	P35568
Q05193	Q9BY11
P11171	P35080
P38405	Q8NGA1
P46092	Q99731
P19012	Q9BTA9
P01033	Q13011
P61964	Q13114
P40225	P42701
Q16531	Q9C0C7
P15927	Q5RL73
P60763	Q5T5U3
Q13573	Q16181
P39023	P61981
P01834	P02787
693190	P04637
P51817	Q8WXS5
Q86X95	Q9UBG7
P30480	Q9BWD1
P61978	Q15637
P61981	Q9NZQ3
P46379	Q7L5D6
P62070	P62993
Q8IU85	Q9NZT1
P29353	P40189
P24723	Q16625
Q86XL3	Q96KM6
P47756	Q9Y4K3
O14654	O15111
Q07343	Q9UQM7
P15170	P62495
O14933	Q6UVK1
Q16595	Q96RG2
O95049	O95832
O00459	P10827
O94887	P61224
Q96RJ3	Q99558
P10276	Q71SY5
P11387	P12956
P36896	Q04771
O14827	Q9HAV0
P12931	Q96Q35
Q09472	Q16254
P35548	Q96T58
Q15291	Q99879
O00548	Q9NZ42
P51116	Q9NS73
Q6AI08	Q92796
Q13362	Q9Y698
P99999	Q96BK5
145781	O14949
Q14738	Q5FBB7
P49366	P63241
P16520	P28482
P46778	P61513
P49768	Q9NZJ5
P61981	Q6UUV7
P42224	Q9UL17
P24071	Q9UKJ1
P06681	P0C0L4
P47992	P61073
P36954	P52434
P07602	Q9NYQ6
P08754	P21453
Q92997	Q9H461
O14908	Q03167
P15260	P22301
O60763	Q99459
P61077	Q9H6Y7
Q13158	Q99836
P30281	P42772
Q8TDH9	Q96EV8
P19838	Q8IU54
Q09013	Q6P1J6
P46527	Q08999
O60244	P19793
P42766	P62899
P84243	Q99525
P23229	Q14031
O94817	Q13151
P24522	Q8WWL7
Q99459	Q9UPN3
P06493	Q13526
P30491	P61769
O14544	P29597
O94955	P51151
P26368	Q92841
Q96EZ8	Q9Y230
P57077	Q13227
O75909	P04637
Q13257	Q14164
Q9C0J8	Q9NZC7
Q14244	Q99459
Q01201	Q07021
Q13642	Q14469
P78337	Q92985
Q99909	Q9Y2D8
P10244	Q9UJX2
P01106	Q9BTL4
O75586	Q9ULK4
Q13573	Q16576
P00533	Q9UQF2
P17676	Q15744
O95251	P49910
Q15797	Q9NXK8
Q08499	Q5VU43
O15439	Q96RT1
P17676	Q15759
Q14192	Q9Y2G2
P49715	Q16520
Q92621	Q96EE3
P00441	Q07021
P41279	Q00653
Q86W42	Q8NI27
Q8TBB1	Q92841
P42677	P62241
P41235	P51843
P46937	P84022
P51813	Q96T51
Q99741	Q9Y5N6
P18124	P32969
P11233	Q3MIN7
Q16695	Q99525
Q68CZ6	Q9H6D7
P98170	Q9Y239
P01308	P16234
P01730	P01911
P62910	Q9UNX3
O43683	P53350
Q06323	Q15047
P05062	Q8IWZ6
P18146	Q92547
O94856	Q12860
P29400	Q9UKX5
406953	P07996
P58546	Q6XUX3
Q04206	Q15654
P01857	P02787
P48736	Q9NSC5
P13569	Q9H3V2
P28702	P37231
P10145	P10914
O60721	P18146
O75469	P41235
P62191	P62333
Q9BV47	Q9UBB4
P40189	P60568
P61086	Q8IUQ4
P22694	Q09428
P27694	Q13156
Q96Q89	Q9Y265
Q5QNW6	Q6UXN9
P11831	P52943
P43405	P48736
Q13315	Q2TAK8
Q96GD4	Q99459
P01588	P23458
Q7Z5Q5	Q9Y2S7
O00755	P56705
P12830	P67870
O60244	Q9H944
Q13635	Q9Y2G2
P16220	Q8N4X5
P84022	Q9NRA8
P09429	Q04206
P01106	P35222
Q13838	Q9H2X6
P00491	P04637
O95786	Q9NX47
P51532	Q01201
Q9BT78	Q9H9Q2
Q15759	Q9P2W3
P08631	Q9Y5K6
O14745	P47900
O60674	Q14765
Q13315	Q9HCJ3
O60674	P62937
O60383	Q96IZ7
P49815	Q9BPZ7
P04844	P16104
Q8IZH2	Q9NRV9
O43639	Q99704
P04156	Q96LT9
Q15438	Q96L92
P08107	Q96HS1
O95347	Q15003
Q15834	Q7Z3B3
O14818	Q9H1Y0
P27361	Q01196
O43347	P11940
Q8N122	Q9UBS0
574442	P28676
P07550	Q5JWF2
P43657	P62873
P62714	Q99832
O43915	Q02763
O15085	Q9H4E5
O60573	Q9NRA8
O95166	Q9UQL6
P25098	P51684
Q14181	Q9GZR7
P17066	Q01201
O75578	Q13753
Q15848	Q86V24
O43597	Q96B97
O60925	Q9P2H0
Q5JVF3	Q9HAW0
P32969	Q9Y3U8
P17947	Q15080
O95167	O95169
P05231	Q9HBE5
O95140	Q7Z434
P21802	Q9Y6I3
Q11130	Q9BXR5
P01282	Q12884
Q09028	Q7L2E3
P52272	Q13247
574033	Q4LE39
Q99558	Q9Y265
P09038	P98160
P62993	Q9C0E4
Q96HF1	Q9H1J5
O14544	P42226
Q03135	Q14108
O43292	Q9UL03
P08047	P29459
P43403	Q92569
P49715	Q15848
P21246	P42568
O15389	Q06124
P26951	Q16619
P06493	Q9H1A4
O95967	P54259
O15455	P12931
Q9H1I8	Q9P2J2
P21359	Q02556
P62899	P62993
P07910	Q92620
O15145	Q9BY76
P52597	Q13151
P63208	Q9UKT4
P15018	Q8IU57
P12956	P19838
P11474	Q16665
P16471	P20809
O95166	Q8NI08
P16104	P51532
Q71DI3	Q92793
407026	P08572
P10809	Q9Y375
P41182	Q13535
P84022	Q9UBW7
Q13616	Q8NFZ0
Q9HC24	Q9UH99
P46777	P50914
Q15834	Q96GM5
P01106	Q9BZL6
P57678	Q8TEQ6
O15198	Q96T21
P31994	P59901
P36873	Q02641
Q8WYH8	Q9UGN5
Q13162	Q9BVJ7
O95832	P78369
O14492	Q13191
Q13315	Q5HYJ3
P01563	P10912
P01106	Q15233
O43493	P27986
P18084	P24043
Q13813	Q9HAU0
P01375	Q99558
O95999	P19838
O15297	P53778
O95551	Q92905
P55795	Q14498
P35228	Q99836
P16234	Q9HCE7
P21673	Q9BWH2
O00206	Q8IWL1
P35626	Q6IF63
Q96P20	Q9Y2Z0
P12980	P62805
P02768	Q8NHM4
P28482	P59768
Q9HBE5	Q9NYY1
Q13164	Q8N122
P25786	Q9Y620
P12318	Q8N6C8
P51149	Q13488
Q12879	Q13255
O95402	P62875
P0CG48	P62987
P01116	P28482
P36578	P84022
Q13111	Q15047
O14640	O14986
P29460	Q8IU57
Q9UJX3	Q9UM13
P13498	Q9Y5S8
Q96A08	Q9P0M6
Q8IX03	Q96NE9
P63000	Q9HC29
O15379	Q99623
O15169	Q6ZNA4
P01857	P35542
O75689	P17252
P49682	Q8NHW4
O60869	Q13133
P52272	Q15287
P01116	Q13772
P63000	Q00722
Q12789	Q13535
P60660	P62993
O43809	Q9P2H0
Q13188	Q8N878
O14905	Q14332
P27482	P51828
P00558	P12004
O43677	P03901
P06899	P16104
P30480	Q9UQE7
P51955	Q16891
O14593	P52272
O00459	P62316
P28749	P63104
Q13547	Q16778
Q8IWW6	Q8IXI1
P08514	P46108
P18124	P30050
P63146	Q8IWV7
P29597	Q14626
Q13347	Q92956
O00167	P16104
O95402	Q9H944
P08621	Q8IWX8
O00329	P05107
P24522	Q8IWY9
O75914	Q96L33
O43318	P11021
P20701	Q9UKW4
P22681	P35968
O00329	Q6ZUJ8
O00233	P48556
P31751	Q15672
O14920	Q7Z434
P52701	Q10586
P11912	P15391
P63096	Q13255
P48443	Q15788
P16220	Q9NQV6
P32121	Q8NGD5
P50395	Q969Q5
O14827	P50150
P36575	Q8IZ40
P30279	P38936
P60709	Q8NBZ0
P60900	Q15008
O00238	O94921
P62993	Q92918
O95049	P13569
P62987	Q8WZA2
P18615	Q15836
P30305	P63104
P63104	Q8N122
P13797	Q8IY92
P52333	Q08334
P23229	Q9Y4G6
O43524	P03372
P35968	Q96PU5
O96013	Q14155
P63279	Q99728
P01374	P36941
P63261	Q9BPX5
P24844	P35749
O75150	Q09161
P29459	Q08334
O00401	P63261
Q99717	Q9BWF3
P38919	Q99459
P20248	P49918
P27448	Q8WXK3
O00487	P35998
P04637	P46695
P36873	Q7Z3S7
O15145	Q9UPY6
O00144	P56703
P30480	Q01105
P60520	Q9BXK5
O96017	Q00987
P29350	P42229
P60520	Q92609
Q9H1R2	Q9H2G2
P06850	P34998
P46531	P48431
P19438	Q14257
Q15274	Q9BQ66
P08631	Q7LFX5
O43809	P60896
P62310	Q9UK45
P20226	P28347
P68104	Q96QB1
P18846	Q7Z6J0
P13236	P61073
P20248	Q99741
P53708	Q14315
O75962	Q9Y5J5
Q12962	Q9BRQ0
P19883	Q9NRD5
P67809	Q86V81
P17480	Q9Y230
P04843	P54725
P47872	P84996
Q04771	Q13145
P61421	Q86Y82
P38646	Q13233
P14635	P31947
O43678	O75251
P12956	Q96AP0
P07766	P27986
Q99832	Q9UHD2
O95149	P18621
O60244	Q9Y4A5
Q8IU57	Q9HBE4
P40189	P42224
Q9NZ52	Q9Y3C5
P01588	Q08334
O15264	P31948
P01242	P15509
P10451	Q13683
O75563	P06241
O15162	Q02218
P01106	Q8NFD5
O15264	P27824
P20333	Q9UKB1
Q15645	Q96JB6
P36894	Q13873
P49959	Q99873
O14972	Q16659
P31751	Q96B36
Q08AG7	Q96RT8
P49841	Q9BZV1
O14775	Q9UBS5
P25942	Q92504
Q13191	Q99665
P07199	Q9UGN5
P24941	Q14CX7
P31749	Q15172
P22455	Q92914
P58753	Q9Y3Z3
O00308	Q93009
P56706	Q5T4F7
O14818	P22392
P61247	P62993
P42702	P48736
P09651	Q8IZH2
P35354	Q16539
P08670	Q8N2W9
P25786	Q8N5Z5
O95707	Q969H6
O43524	P54619
O75044	P61586
P50402	Q12965
O60266	P63092
Q96AE4	Q9UPT9
Q14683	Q9Y6J8
P05114	P22492
P49841	Q15828
P05114	Q9Y4A5
O95169	P03905
P06493	P14635
P18146	P62633
P62273	P62701
Q9UBG7	Q9UM47
P60228	Q13315
P49840	Q01974
Q5UIP0	Q96E14
P04083	Q99832
406979	Q13873
P23458	P38398
26765	P20226
Q01105	Q15573
O95467	P50150
Q9NQR9	Q9UGJ0
P30480	Q99460
P55268	Q96KM6
P51003	Q13243
P10914	P13232
P82932	Q9P2H0
Q93074	Q9Y4A5
P02768	Q9Y383
P07237	Q9H3N1
P28340	Q9Y2Q3
Q8WYR1	Q9UN42
P01242	Q8IU57
Q13148	Q9UNZ2
P14598	P19878
O43889	Q13237
P49841	Q9Y600
Q01844	Q9NRR4
P51817	Q01814
P32121	P60953
P13807	P22694
P18146	Q07812
P19174	P21817
P30504	Q13263
P15976	Q15744
P37802	Q9GZN1
Q13114	Q13546
P01106	Q99735
Q9NVH1	Q9Y2Q3
P78362	Q07955
P50148	Q14332
Q16643	Q16659
O75376	Q9Y5X4
P01236	P01589
P01106	Q9H300
Q07889	Q9NZM3
P06239	P07766
Q8IYD8	Q9NPI8
P56704	Q9UP38
A6NM45	Q9UDY2
O43353	Q99623
O15111	P35580
Q66LE6	Q92736
P23508	Q9HB71
Q9H9Y6	Q9P1U0
O75830	Q9UMX0
P10916	P60709
P15170	Q99683
Q8IZI9	Q9UHF4
P01106	Q9UKA4
Q13535	Q5TCZ1
P56545	Q9HCS4
O60583	P78527
Q14164	Q9Y265
P01566	P08887
P51668	Q6ZSG1
P33992	Q08945
P02795	Q15139
407051	P56817
P84101	Q93062
Q13573	Q16513
P23193	Q6P1J9
Q13573	Q9UBP9
O43927	P51685
P19387	P53803
O14576	Q13509
O94875	P32969
Q96EE3	Q99567
P16144	P24043
P60228	Q969Q1
Q01130	Q14103
Q8IWC1	Q9UET6
P17676	P49716
O94805	Q68CP9
Q12873	Q9NRH1
28938	P52292
P15336	P45983
Q13352	Q96P50
P19338	P35579
P28482	Q12772
Q00839	Q16637
P35080	P46783
O95622	Q8TD86
O75800	Q13049
P63092	Q9BWD1
P25054	Q9Y297
O43741	P11166
Q16665	Q58FF8
O43186	P54845
Q14088	Q9UI14
Q13573	Q15427
Q13573	Q9Y265
P18084	P35443
O15162	Q9H0B3
P01106	Q9BSC4
P49662	Q93008
P06241	P08174
O43684	Q9BS18
O00459	P42680
O75084	P50148
P48357	Q8IZJ0
A1A5B4	P42224
P27986	Q9BWW9
O60739	P52434
Q13651	Q969D9
O94762	P49419
P02768	Q92628
P24864	P30291
Q13177	Q9H4E5
P17612	Q9UKL4
P05014	Q01113
O75970	P57087
O95793	P60709
Q9NX70	Q9ULK4
P16234	P21781
P30273	P32927
P18146	Q86UL8
P09038	P29317
Q9C035	Q9Y2X8
O14775	O60266
Q00887	Q5UIP0
P06756	Q9Y490
P13807	Q92630
P08138	P16104
P13612	Q9Y6N6
P15260	Q86WN2
P52333	Q13261
O75618	Q9H6Z4
P22466	P55347
O95409	P10071
O94921	Q8ND76
O60231	P38432
P22612	Q02750
P10275	P55317
O75438	P51970
P34931	Q9UBR2
P01243	Q02413
O60341	Q9GZT6
P02768	Q92833
O43324	Q13315
P49406	Q14197
O00501	P56750
P62993	Q13568
P84243	Q14781
O95229	Q14457
P08648	P25940
Q13263	Q16587
O60412	P32121
P20671	Q9UBN7
O15230	P10144
P37173	P98082
O60506	Q9UHX1
P10321	P43626
P03372	P27986
P17947	Q9Y6Y9
O60262	P51817
P17844	Q9NWQ8
P22681	Q9UHF4
Q14240	Q9P2D0
P48443	Q92831
P24863	P49336
O94864	Q86TJ2
O95977	P04899
P15884	Q9NR48
P78347	Q06187
P35626	Q9Y5P0
P62805	Q92925
P41250	P63104
P04083	Q5T3J3
Q04721	Q96JK9
P35222	P35869
Q13263	Q15596
O15144	Q07889
P02545	Q04759
O75626	P04637
P52333	Q92569
P16333	Q9BWF2
P35555	Q08397
P02751	P25067
P49238	Q8NHW4
O95996	P35222
P06241	P16871
P35998	P54725
P03886	Q9P0J0
O95402	Q16637
Q92888	Q99459
O60359	Q14738
P54257	Q9H079
Q13261	Q8IU54
O14610	O60840
Q13547	Q15583
P29323	P49790
Q5VWK5	Q9NPH9
P67870	Q16543
O95084	Q6KC79
P0CG47	P13569
O00471	P42285
P06241	Q92558
O75899	Q99963
P47914	Q9NX95
O60674	P42226
P07949	Q99962
P08047	Q13547
Q13164	Q16512
P35498	Q9UKL0
P62910	Q99558
P04183	Q9NPB8
Q12933	Q13137
Q9NYJ8	Q9Y6R0
Q7L2E3	Q96ST3
O95197	Q9Y5P4
P06756	Q13751
P13807	Q9H0R8
P08238	Q13233
P30480	P38606
P39023	P61513
P43355	Q9NQG6
P63104	Q9UL42
P14618	P63104
B1A4H9	Q01344
P35916	Q92915
P04049	P15056
Q92783	Q9H204
Q5TC79	Q9P0V3
Q13555	Q8TEY5
Q6FI13	Q86WJ1
Q9BU40	Q9UGN5
Q13501	Q9NQC7
Q16836	Q9Y4K3
P01574	Q01113
Q01201	Q8NFD5
Q01130	Q08170
P26951	P27986
O95347	P01106
Q13485	Q14956
P01100	P45984
Q05655	Q9H5V8
Q13315	Q8WVB6
O60674	P08700
P32121	Q8NH43
Q5JWF2	Q99614
Q5JR59	Q8N720
O00463	P43489
Q12905	Q92878
P01579	Q13651
O43639	Q7L0Q8
P05026	Q5T3J3
P28221	P62873
P07737	Q8TDM6
O95292	P48039
O95685	P41236
P54727	Q9P286
P13569	P60468
P05141	Q9UKV8
Q01081	Q13435
P45983	P49585
O00255	Q9NS64
P46777	P84098
Q14318	Q8N122
P53355	Q15257
P42858	Q8IZQ1
Q15022	Q9P0M6
P16885	P30273
P29590	P36897
O60333	P50539
P36873	Q8TEY5
P62987	Q9UNE7
Q9NYF0	Q9ULK5
P11473	P11712
A7MCY6	Q9Y6K9
O15169	Q155Q3
P14316	Q14790
P01574	Q9UHF4
P46781	P46782
P00519	Q9Y5X2
P16220	Q9H165
Q9NQ55	Q9NX58
P27708	Q6R327
O14576	P50570
O00329	P63215
P40763	Q99459
Q9H171	Q9UET6
P04637	P38398
O60437	P05787
P07942	Q13148
P02675	Q16637
P26599	Q15366
Q9C086	Q9Y265
O00193	Q9NV58
Q12933	Q13748
P10275	P40763
P16581	P45983
O00499	Q8TB24
Q16539	Q9UBI6
P50570	Q9BX66
Q02156	Q8NER1
P25100	Q9Y210
P25786	P60520
O00505	P01889
P28065	Q03519
P08134	Q8IWW6
P55064	Q99750
P19174	Q8WV28
Q9BTC0	Q9H0M0
P07900	Q99836
P37268	Q149N8
O75400	Q6P2Q9
A8K6C2	P01589
O15524	Q8N668
O75525	Q8TBB1
P23528	Q15631
P01567	Q13651
P22612	P27361
P12429	Q13432
P08575	P20701
P84022	Q8TF09
P35916	Q9NP95
Q9Y3T9	Q9Y5V3
P57052	Q15365
Q13813	Q99459
P98170	Q9Y5V3
O14569	Q6PKC3
P00374	Q16254
O00571	O95786
Q92698	Q96PY6
P57088	Q15714
P21802	Q07890
O95819	P49642
P07900	Q15628
P10275	Q9UM63
P30154	Q9H7D0
P14324	Q8WXG1
P25054	Q92845
O75381	P14317
P46531	P98170
P32121	Q9GZK7
P30626	Q13137
P46092	P63096
O00203	Q13315
O95467	Q9UK08
Q04206	Q13477
Q01082	Q6WCQ1
O00755	O75197
Q8IU57	Q8IZI9
P53778	Q9P2W3
O95433	Q13285
Q16254	Q7L2E3
P21246	Q15013
P13569	P46934
Q96CW5	Q99459
O60262	P21554
O43772	Q96RY5
O60684	Q9Y5K6
P05387	P42766
P04637	Q9HBJ7
O15297	Q9NZC3
P42702	Q969D9
Q13554	Q99941
P01588	Q99062
Q99623	Q9Y4K3
O95931	Q71DI3
O75815	P53396
P16104	Q9UBU8
Q00005	Q9H0K1
Q8NFH4	Q8WUM0
P30511	Q13241
P01909	Q5T3J3
O95622	Q16566
P46821	Q13535
P16104	P62875
P56524	P62807
P16220	Q8WWB5
Q9NX58	Q9UHA3
407021	Q9Y6K1
P21333	P63252
Q01469	Q9Y478
P24534	Q00005
O43255	Q9HB71
P05019	P07585
P35916	P62993
P03973	Q15653
P27986	Q9UM73
P04198	P33991
442894	Q9H3D4
Q16236	Q16621
P61313	P63173
P24863	Q15648
P52198	P52757
P98182	Q96KQ7
O15131	P39687
P19387	Q9UL03
Q02930	Q13554
Q93100	Q9H7J1
Q8TDD1	Q9NX58
P61587	Q8IWW6
P22612	Q08828
