#node1	node2
P24385	P51948
O14543	Q9Y286
P35579	Q00653
Q12834	Q9UJX2
P35251	P38398
P18146	P49336
P04049	P22612
P62140	Q9BQI3
Q13416	Q9UBD5
P05091	P10809
P61254	Q15843
O00626	P51677
P38405	Q8NG81
P12643	Q96NZ8
P01574	Q969J5
P16234	Q06124
P05787	P15924
P62805	Q9Y294
O95295	Q9Y561
P20290	P56537
P51684	Q15835
P68104	Q15078
P60484	P62136
Q13007	Q9HC73
O75821	P55884
O00231	P17980
O75365	Q8N163
Q13546	Q5VWQ8
O00574	P51671
P08648	P26010
O75038	P17252
Q8IXM3	Q9HAU4
P27986	P29074
Q13257	Q9UJX3
P53708	Q07890
P08758	P16104
Q9H0I3	Q9Y2X7
P10912	Q9NPF7
P35222	P50402
P16885	Q14192
Q93034	Q9HCE7
P06493	P49841
O60613	P30504
O75791	Q93062
O95484	P57739
P12931	P28340
406987	Q06945
P01106	Q9UKN8
O15428	P10636
Q13535	Q9NVC6
P17252	Q8NI35
P60673	Q07889
P51686	Q9NRJ3
P49841	Q9Y243
P04637	Q03701
Q00532	Q9HCE7
P00519	P07947
P23246	P78347
O95149	Q9BV68
P04637	P11388
Q9UBR4	Q9UG01
Q13547	Q13618
P05106	P21815
P10451	Q14790
P63218	Q99677
P00742	P13726
P35544	P62753
P29323	P42684
O75955	Q14242
O60359	Q15172
P31751	P49840
P16144	Q14315
O15264	P14625
Q14576	Q5SZQ8
P36888	P42229
P01033	P08254
P12111	P18084
Q6FHJ7	Q9UP38
P62753	Q15349
P19838	Q16512
P62280	Q15843
P62258	P63104
O95299	P17568
5512	O95685
P11021	P62993
P62987	Q7LG56
Q14188	Q16254
P63000	Q9BST9
Q00987	Q93009
P11168	Q08050
O14788	Q15910
Q8NEM0	Q9BPX3
O43252	Q13432
P16989	P25208
P51531	P62834
P67809	Q9BUJ2
Q8WUY8	Q9UI14
Q96L33	Q9NZN5
O00221	O75179
P24385	P49918
Q13315	Q9UGK8
O75674	Q86YL7
P18077	Q9UKV8
O76071	Q7Z7L1
O95837	Q9NPC1
P01241	P41091
P49427	P68400
P43360	Q53HC9
P23258	Q99996
A5YKK6	Q99459
O15198	Q9BRR9
P11226	P48740
P04899	P48736
Q99873	Q9Y4K3
Q16385	Q96QF0
P49916	Q96T60
O15105	O15379
P09619	Q9UJM3
O15372	Q13347
O43908	P30466
Q13064	Q96B02
P63098	Q99683
P46094	P80098
Q8IZJ0	Q99062
P98170	Q96LR5
Q16531	Q9UBW8
Q9HAU4	Q9Y3E1
Q14240	Q9H074
O95644	Q02080
P13612	P25940
P62241	P62753
O15105	Q9BZK7
P06241	P31273
O43353	Q13114
Q13535	Q92769
P21333	Q13683
Q13219	Q6VMQ6
P45984	Q16690
P49368	P68402
P48730	P56645
P61513	P62891
Q13148	Q9UKY1
P36542	Q8N5V2
Q06190	Q8IZS8
P12830	Q07021
P31947	Q7KZI7
Q16594	Q9UHQ1
P51817	P54840
O60266	O95467
P99999	Q96BK5
O15111	P08107
P06400	Q14457
P35637	Q9UBW7
406952	Q01196
O00175	P49682
O00459	Q14457
O95967	Q96EQ0
O60711	P48059
O00206	Q99836
P28482	P28562
O75190	P05783
Q9H1J5	Q9H237
Q9BQG0	Q9NY93
Q07157	Q8N7P3
P24385	Q9Y6Q9
P30556	Q05516
P08887	P29459
P60568	Q13651
Q8WWB3	Q9UJV3
P22612	Q9UF02
P47712	P78545
P51610	Q09028
P32121	Q8NH83
Q6NXE6	Q9BUV8
P55060	P63104
Q16665	Q9UNQ0
P07101	P63104
P23246	Q99717
P41220	Q86VX9
P25116	P62873
P32298	P46094
P06241	Q06124
Q5TAQ9	Q969Y2
P01243	Q02413
P18206	P63261
P17302	Q03135
Q14315	Q14919
Q14671	Q99459
P50402	Q13227
P12004	Q14191
Q92769	Q9UKL0
O94762	Q9UQF2
P20340	Q14203
P48059	Q9NPH0
P35579	P50402
P36897	Q9Y3F4
O15524	P20936
O14796	P04626
P54253	Q6V0I7
Q15208	Q5VVJ2
O95295	Q6QNY1
O15116	Q14684
P07355	P14209
P78364	Q14781
O14727	P04637
P62070	Q8WWW0
O14744	Q86UQ8
Q9HAU0	Q9Y496
P32121	Q8N162
Q8IXH7	Q8N163
P06899	P55209
P50914	Q02543
O75528	Q92831
P35232	Q08999
P42680	P52735
O96020	Q00534
O60739	P39023
P25101	P49407
P53350	Q7Z3J3
P42261	Q13557
Q92917	Q9BQA1
O14735	P19438
406988	Q15648
O95376	Q9HC35
Q8WWL7	Q9UJX6
O75800	Q13064
P16615	P27824
P53621	Q02978
P33778	Q9UQL6
P42702	Q8IZI9
P62330	Q08211
P42858	Q00535
O75081	P54259
P42224	Q9UQM7
P48736	P63000
P05231	Q00653
P40763	Q05513
P16144	P25940
P05231	Q99962
P56178	Q96T58
P12830	Q9UHB6
Q15370	Q16665
P63000	Q07960
P30153	Q9GZV5
P30154	P37173
Q15393	Q9UL18
P38405	Q8NH51
P28566	P63211
Q13326	Q92629
P08138	P48736
P32121	Q14738
P15923	Q92793
P14373	Q9H832
P08069	Q9Y4H2
P01116	Q8IV61
P05121	P08246
P49716	Q7RTN6
P48643	P67775
O15519	Q16658
Q9NY15	Q9UBP9
P62310	P62318
P62266	P62851
P09471	Q9NPG1
Q13315	Q6ZW49
P46459	Q9UN88
P22681	P27986
O00501	O95484
O75940	Q2NL82
O95819	Q2KJY2
P08727	P21980
Q05397	Q9UKX5
P17252	Q3MJ16
P68431	Q9H9T3
Q9HAW0	Q9NVI7
P60709	P60763
Q8IV45	Q9NWZ3
O43889	Q8TEY5
Q9HD36	Q9UMX3
P98175	Q01081
P11142	P84090
P23508	P61081
Q9BX70	Q9H0C5
A8K6C2	Q5VWK5
O00305	Q9Y3C7
P41227	Q8NFF5
P62330	Q9UPT6
O00231	P51681
P46527	P61586
P00533	P62158
P00403	P62993
Q13009	Q9HBH0
P08047	Q05655
P42226	Q15306
P08621	P78362
O95376	P48664
P84022	Q14192
P45984	Q12933
P05387	P62987
P04839	P63000
Q68CP9	Q8TAQ2
P48357	Q9UGI9
O75533	P63162
Q08334	Q9UBD9
P07437	Q96NA2
P17612	Q12791
P06241	P35968
O96015	Q96FJ2
O60925	Q9P2H0
P42771	P63279
P01834	P01871
P62805	Q6STE5
P61224	Q13432
O60716	P60953
Q96PM9	Q9Y2X8
Q16695	Q9H0H5
Q8IY92	Q8N1F7
O15467	P49682
P06239	P42338
Q12789	Q15910
O95989	Q9UGJ1
P15260	P35228
Q9NZZ3	Q9UN37
Q13352	Q96HD1
P08236	P21281
P42285	Q15287
Q02363	Q14469
Q96PU8	Q9NWB1
Q5VWK5	Q9GZX6
P13639	P62993
P09544	Q9Y5W5
O14744	P07384
Q06609	Q9Y376
O00257	P48552
P62263	P62993
P30153	Q15172
P16220	P63279
P16220	P49841
P52294	Q8IY92
O60383	Q96IZ7
P04899	P45983
P25101	Q9Y210
P52434	Q9NVU0
P36402	Q13761
O60502	P54257
Q14152	Q99613
P41594	P48995
Q92994	Q9H1D9
O75159	Q99650
Q9H9A5	Q9UFF9
P04745	P25942
Q13535	Q7Z5Q5
P49674	P98177
Q5VTD9	Q6ZW76
Q969T4	Q96EP1
P04745	Q9HC24
P84095	Q07889
O60566	Q92831
P52630	Q09472
O00487	P61289
P06746	P18887
P16050	P61978
Q03431	Q04917
O60603	P68104
407025	Q9Y6K1
Q15645	Q9BYR7
P23229	Q9Y6N6
P61978	Q13535
O43663	Q15653
O15530	P48736
Q9H1J1	Q9H4D5
P18146	Q7Z2X4
P01137	P49746
P12236	Q9Y277
Q9NRR5	Q9Y5P3
P35626	Q8NH74
P07900	Q9NRG4
O00571	Q9BTT4
Q15554	Q96AP0
P62993	Q86WV1
P01570	P40189
Q00403	Q08050
Q8NFH3	Q96EE3
P08311	P29508
P51610	Q9C005
P52333	P60568
P15509	Q9GZX6
Q02363	Q99081
P29353	Q14155
P00533	P29350
P49366	P63241
P50151	Q9Y272
P31946	Q86X29
28938	Q14164
P01106	Q8TAD2
Q13227	Q13547
O15259	Q14289
Q15654	Q96I34
P32121	Q8NG85
P68363	Q00005
P01569	P26992
Q0VG06	Q9NPI8
O00459	P42229
P16671	P35442
O14543	Q9Y4H2
P15923	Q9NR48
P17612	Q15653
O00329	P42336
P62987	P83731
P13637	P28482
P04234	P27986
Q6STE5	Q8NFD5
P22694	Q9UNY4
P20333	Q9NQH7
P21796	Q9Y4K3
O75461	P35227
P68366	Q8NDZ2
P62750	P62987
P32121	Q8NGN1
P12318	Q6PI73
Q8TED0	Q9UGN5
P15735	Q9UQK1
P25963	P55072
P62987	P62993
O60925	P10645
P63104	Q16613
O60291	Q8WVN8
Q13530	Q9Y277
P45985	Q9UNN5
P01574	Q13261
P30466	Q99706
P49755	Q9UET6
P63261	Q15942
P25963	P63261
P41743	Q6P1M3
O75044	Q9Y6N7
Q8IZJ0	Q99650
P0CG48	Q07812
Q13535	Q9BUG6
O75925	Q92731
P20073	P55084
P05556	P21333
A8MT69	Q9BXW9
O14639	Q08379
P01563	Q00653
P40429	Q9UKV8
O60936	P25445
P01106	P13747
O14939	Q92569
P01241	P47756
Q15811	Q99471
P15248	P48357
P01242	P48551
O95400	Q9UHX1
O15379	Q86Y13
P01106	P49795
Q71U36	Q9UN37
O75534	P16333
P55157	Q9BXM0
P49910	Q8IYF1
P50750	Q9Y5X4
P07910	Q15287
Q7Z434	Q9Y4K3
Q6P2Q9	Q96DI7
P59998	P61160
Q02556	Q9BT78
O43791	P28702
P18146	Q02750
O75312	P13637
P23470	Q02763
O00264	O60739
Q6UWE0	Q9UQ53
P01033	P61956
P43405	Q6ZUJ8
P51965	Q6PCD5
Q96AG4	Q9UET6
P25054	Q96GD4
P31749	P54253
P17813	Q04771
Q9HBW0	Q9P2W3
P11047	P26006
P28749	Q14457
P19235	Q13191
P21673	Q15047
O94762	Q06609
O00483	O43676
O15123	P00533
P01242	P26992
O15239	O43678
P20226	Q16514
P26010	Q9HBI0
P13797	Q8IY92
P16278	P19438
Q96CG3	Q9Y3M8
Q14164	Q9NUQ9
Q8NHZ8	Q9H1A4
O14641	Q96EZ8
Q13363	Q14526
P18146	Q09472
Q99459	Q9H1A4
P02768	Q9UPM8
P14598	P14780
Q96HP0	Q9H4E5
P04406	Q16363
Q13885	Q9NRI5
Q8TD31	Q8TEY7
P05109	P15153
Q96Q15	Q9H1J1
Q01831	Q96KM6
P60520	Q13685
Q14164	Q15056
P35626	Q8NHC4
O00327	O15516
P23458	P40238
O60739	Q15819
P15882	P52198
P25205	P62330
P62306	P62314
Q07812	Q7Z419
P54840	Q86XI6
P14616	Q07890
Q9H293	Q9NRM6
P15391	P60033
P01042	Q07021
P62241	P62266
P53778	P62879
P05106	P22105
Q15054	Q9HCU8
O60925	Q9H254
O15047	Q99877
O94829	P62826
P30101	Q13753
O95897	Q13243
P08575	Q99569
P32927	Q9NPF7
Q13573	Q8WWH5
P15880	P62266
P25788	P25789
Q7L5D6	Q9P2S5
O76083	Q96FC7
O75688	Q9Y6K9
O95166	Q9P2R3
P78406	Q8NFH5
Q9GZT5	Q9H461
P40933	Q14626
P06899	Q96QV6
P16070	Q12955
Q7L5N1	Q9GZN7
Q16543	Q9HC98
P08069	P27361
P38405	Q6IF63
Q01449	Q7Z406
P04406	Q14919
O95994	Q9NRR5
P62906	P62913
P01106	Q8N883
P13232	P40189
P09471	P22694
Q15796	Q92985
Q13077	Q13748
P01106	Q92552
O14543	Q93034
P30281	P42226
P62277	P62857
P62995	P84103
Q13153	Q8IWR0
P62807	Q93077
Q05193	Q8IVI9
P40227	Q15796
P07333	P20827
P41597	P63096
P05412	P17947
P38405	Q8NGR9
P10914	Q14919
O60896	P63092
P60709	Q9Y2K3
P01106	P17096
P62249	P62857
Q12873	Q9Y2P4
O15394	P32004
P28347	Q9UJU2
O75533	Q01081
P13612	P57087
P06730	P78344
Q16512	Q9UDV7
O95786	Q14790
P35222	P46940
P42575	Q9HB75
P19338	Q99558
P01106	Q9BS16
Q8N4P2	Q9Y283
O15155	P23511
P48357	Q8N5S9
9757	Q15291
P23258	Q96CW5
Q96DB2	Q99877
P22607	Q92540
O43237	Q6PEY2
Q9NR30	Q9Y478
P25398	P62244
P36507	Q969H4
P01889	Q9Y230
P01106	Q96BN2
Q15653	Q9UJF2
P01116	Q07890
P45983	Q02750
P07996	P13612
P62805	Q92925
P27986	P42684
P05015	P19838
O00231	Q99459
Q8N3R9	Q9BYG5
P01106	P43490
O14556	Q9P0V3
406947	Q13158
P20671	Q9H160
O14939	P06241
P25021	Q96D09
Q14011	Q9Y490
Q86U70	Q9GZU7
Q96IP4	Q9P287
P09327	P62714
P35222	Q8WVC0
P01569	P15260
P01106	Q9Y2B2
P10144	P14222
P04183	Q9BZE1
O00585	P51684
P25189	Q01453
Q16537	Q9H0H5
O96019	P38936
P05107	P43405
P55157	Q9H2G2
P05129	Q9H6Z9
O14503	P08670
P05783	Q15628
P07992	Q96S82
Q92831	Q9Y4A5
Q13315	Q6ZNG1
P27037	P36896
Q15139	Q9GZQ8
P0CG48	Q04323
P42261	P49840
P08754	Q9HAV0
P01571	Q9UHF4
P30291	Q9HC98
Q969Z0	Q9NYA4
P52565	P84095
O43150	P62330
P10275	P62136
Q5M9N0	Q9NR46
P01106	P35813
P15923	P63208
P49450	Q96GD4
O95295	Q96EV8
P23508	P23921
P02741	P41159
P17252	Q9NR12
P15516	Q8TAX7
406881	P01116
P49711	P67809
P49841	Q15154
O75578	P12931
Q00978	Q92985
O00548	Q9H488
P27348	P35221
Q92905	Q9BXL7
P35998	P51665
Q13315	Q8NG08
O60496	P00533
P05060	P05109
O75970	P57087
Q15149	Q32MK0
P02461	Q05397
O15504	Q8NFH5
P13612	P46108
O60258	P21802
P02511	Q9UKT5
Q9NP73	Q9P2R6
P06454	Q15717
Q16186	Q9UHD9
Q86XI6	Q8TD86
P62910	P63173
P52597	Q8IYB3
P10070	P62258
P46776	P62906
P27361	Q9UQC2
O15117	Q14008
P41743	P62714
Q86Y13	Q9H0E2
P30050	P68366
P16035	P61289
Q15047	Q9UN74
Q13315	Q15554
P10124	P14222
P05787	P22607
P20073	Q9Y3C7
P00533	P09619
O00233	P62191
O00762	P20248
O95136	P08754
P24821	Q13683
Q01094	Q01831
B1A4H9	P26992
P23588	Q13557
O60733	Q05655
406902	Q15853
O43318	Q99558
P42336	P54710
P07900	Q12809
O75150	Q9BSJ1
O00255	Q9NS64
P27540	P35228
P35626	Q8NGH9
O14775	P04899
Q13748	Q9UGJ1
P01242	Q14626
Q7Z5K2	Q8IZH2
P59768	Q9UBY5
O15198	Q13873
P19838	Q04864
P30876	P52434
P36894	Q7Z3T8
O14745	P09619
P05141	Q6WCQ1
O43306	P84996
P47736	Q6ZN04
Q5VTD9	Q6PKC3
Q93009	Q9UJX6
P05388	Q9Y3U8
P20702	Q14773
Q13315	Q8N5Z5
O43353	Q13469
Q14240	Q92698
P55795	Q14498
P13805	Q92993
P22061	P25942
O60840	P62136
O75815	P04626
P05412	Q15796
Q15428	Q15717
O15105	Q16539
P62993	P83731
P12270	Q9NRG9
P51159	Q9BV36
Q9H160	Q9HCE7
P01308	P22455
O14662	Q05209
P62987	Q9BXL7
P18564	P49023
O15131	P55060
O43809	P21246
O94941	P62837
P04233	P14174
Q14164	Q86UP2
O43524	Q08050
Q66K89	Q8TBB1
Q14318	Q9GZT9
Q96C03	Q9UI14
Q12834	Q9UJX5
P15514	P30281
P17181	P29350
Q53ET0	Q9UGJ0
P62258	Q16186
O94916	P53794
P20333	Q9BYX7
P06241	P15586
Q13535	Q9NVP1
O14641	P05129
Q96CG3	Q9BXS5
O14733	P35813
P27540	P35318
P62879	Q14831
P61956	Q9UKL0
P62328	Q8WWQ8
P55036	Q9UHD9
P51965	Q86UW7
O14920	Q04771
P01571	P48551
Q9NWA0	Q9Y2X0
P05120	P08311
P23508	Q7L5N1
P31946	P85037
P50151	Q13936
P11215	P61224
P14921	P23771
P62837	Q9Y577
P04350	Q9UHD2
Q13315	Q9H6Z4
P35609	P55318
P62837	Q9Y4L5
P04075	P08238
P24928	P62993
P18146	Q14894
P03372	Q9BTC8
O14965	Q16600
P02775	P14780
P18074	Q13889
P38936	Q96DB2
P56704	Q9ULW2
P20265	P35222
O75367	Q8IYW5
Q92547	Q99638
P20333	P35579
O15105	O75925
O94806	Q9ULK5
O76064	P61088
Q86V81	Q9UKK6
P23528	P60174
P48729	Q9UJU2
Q04637	Q9BZI7
O00329	Q9P2W3
O15264	O43175
P16333	Q32MK0
P35658	Q13485
Q6PEW1	Q92624
P35398	Q09472
O60583	O94992
O14662	Q96AJ9
Q13315	Q9NXX6
P36578	P42766
Q8WVM8	Q9UPT9
O75578	P49023
P52434	Q9Y535
O75132	Q04206
P10515	Q9UBE8
Q13751	Q16787
P10276	P28702
P12236	Q02156
O14544	Q5VWK5
P30260	Q9NYD6
P13232	Q99665
Q13485	Q96G75
P50539	Q14164
P26641	P84077
Q02750	Q16659
P16070	P53420
P15927	Q96FI4
Q93034	Q9H672
P00746	P00751
O60675	Q16621
406953	P03372
Q8IZJ0	Q9HBE5
P00519	Q9UM47
O75964	P05496
P36405	Q13432
O15399	P62140
Q9BYX4	Q9H6S1
P12270	Q9Y6R4
Q03701	Q9UHA4
P01106	P20839
P31314	P49767
P10827	Q9Y6Q9
Q15029	Q96PU8
A3KFT3	P35626
O95180	Q12879
P04839	P31269
P43360	Q92616
P43243	Q9UNY4
Q99832	Q9UHD2
Q8N612	Q9UI14
P11387	P51991
P01106	Q8IU85
P68400	Q9UNN5
P60484	Q06830
Q15834	Q7L590
P26641	P53602
P68431	Q9H9B1
P36957	P68371
P62714	Q9UHV9
O14640	Q5SW24
P26368	P84103
P05141	Q9Y6E7
Q09428	Q15878
P62714	Q9BRV8
P29692	P78545
P61353	P63173
P27482	P27987
O60825	P61981
P05783	P31947
P00533	Q9NYD6
P63208	Q9HAW4
P0C0S5	Q9Y230
P17612	Q14721
O15085	Q9HBH0
P49959	Q99459
Q13651	Q16619
P29966	Q05655
P02686	Q8IW41
O14827	P61952
P38484	Q96EY1
P05556	P08648
P58753	Q9NWZ3
Q99878	Q99880
P46940	P63000
P06493	P36873
Q92747	Q9UPY6
O43524	P46527
P38405	Q9Y5P1
P24043	Q14118
P35626	Q8NGL3
Q14197	Q9BYD6
O95298	Q9UI09
O95239	Q99459
P14921	P23497
P04745	Q8TBZ2
P04150	P42229
P35916	Q92913
P01222	Q9UBR4
A6NIT4	P48551
O15105	Q96FJ0
P27708	Q01201
P42261	Q13554
P26640	P63104
Q15008	Q9UNM6
O00231	Q9NPI1
O95997	P12980
P04049	P31751
P23763	P61266
P31947	Q96B36
O75150	P49459
Q14344	Q99500
P26378	Q9NZI8
Q9NX08	Q9Y320
P32121	Q8NGQ6
P98177	Q16539
P23258	Q9BQE3
P26441	P32927
P21246	P49841
O95235	P18146
Q15287	Q9BU76
O43521	Q92843
P31942	P50995
P25101	Q14344
P05107	Q9UNS2
P09038	P39019
O14920	O75688
O95402	Q9BWU1
P62081	P62244
P38405	Q8NGT1
P12956	P55769
O60232	P81605
P05412	P20749
Q14161	Q9Y2X7
Q13153	Q96L33
P63104	Q01105
O60291	Q9Y2X8
P09936	P0CG48
P46778	P46779
P29460	Q08334
P08069	P21583
O00716	P24864
P30281	P62140
O00303	P23508
P14415	P32418
P18206	P35609
P20827	P21709
P24394	P31785
P27361	Q8TEY5
P12273	Q13315
O60762	Q9Y5J5
P54259	Q8WYB5
P10275	Q9H422
Q9NX14	Q9P0J0
Q13573	Q15021
O14640	P49674
Q53T94	Q9NYV6
P61073	Q9NRJ3
P31751	P35222
Q13315	Q9P2K6
O15169	Q9BVJ6
P30450	Q99706
O14744	P85299
Q99496	Q9Y2X8
P10644	Q8WTW4
P51679	Q16627
P62993	Q96AQ6
5512	Q96SB3
O43889	Q13554
O95816	P0CG48
O75182	P48382
P01574	Q8WXG1
P04075	P16104
Q8TAQ2	Q92538
P0C5Y9	Q93079
P12931	P18031
O60603	P01100
P98187	Q9UJU6
