#node1	node2
Q16630	Q9NYG5
O60244	Q9Y4A5
P52434	Q9HCS7
P08134	Q14185
O95433	Q14807
P38398	Q14683
Q02539	Q8IXJ6
P14316	P21359
P13569	Q9Y2H5
P40933	Q14626
P22694	Q09472
Q13145	Q13467
P05129	P18031
O75800	Q01094
P01374	Q06643
O95863	Q9Y297
P52907	Q9UFF9
P08575	P10912
Q9ULV4	Q9Y572
P52948	Q8NFH5
407053	Q12778
P04070	P67870
P40692	P62328
P20333	Q01813
P57739	Q07157
P01589	P60568
P32121	Q96R67
P42285	Q9HAU5
P41235	Q9H6P5
P01732	P30466
P26641	Q9UQL6
Q04206	Q9Y6Q9
P28221	P28222
P06241	P98161
P01031	P21730
Q6UXH1	Q9UBS4
O14904	O95813
P08107	Q9HCK5
P17542	Q9UKL0
P22888	P63092
Q16543	Q6P1N0
P13797	Q8IY92
O43147	Q9HCC8
P28340	P37173
P01374	P05162
O00144	Q13145
Q9HD36	Q9UMX3
P08069	Q6PIS1
P43146	Q6UXZ4
P35626	Q6IF42
P62081	P63220
Q15811	Q9NRI5
Q14152	Q14164
O43293	Q96IZ0
P82094	Q5VTD9
Q13573	Q15291
O43257	P0C0S5
O00459	Q05397
Q01094	Q9NZJ0
P09651	Q14683
Q15645	Q9NZF1
P36873	Q92736
P08575	P22681
P04350	Q01101
Q5UIP0	Q9HCU9
Q00534	Q9UIV1
P62993	Q96RT1
O76081	P46108
P04183	Q15784
Q12873	Q15424
P08138	Q16637
O60381	P01106
P62330	Q14697
O15294	Q9H1M0
Q99650	Q9UHD0
Q9BWF2	Q9NQC7
P05162	Q7Z569
Q96QU8	Q9HAW0
P01889	Q15643
P18146	Q96G03
P22736	P28482
Q9NPD8	Q9Y675
P20226	Q9NVP2
P48637	Q14653
406987	P55287
Q14240	Q7L2H7
P49747	P53708
P31040	Q14164
Q13352	Q9BWH2
O00141	P42345
P18084	Q14315
Q6FHJ7	Q93097
P46459	Q9P2H0
P01571	P40189
O00212	O43295
P06493	P33552
Q13315	Q15544
P37231	Q16236
Q8N1F7	Q8TEM1
P78371	Q9Y2T4
O00574	P22362
P04637	Q6AZY7
Q9H981	Q9Y230
P32241	P62158
O14879	Q9Y4K3
P61201	Q92905
Q96BN2	Q9HBM6
O75081	P51805
O15379	P28702
Q03013	Q04724
Q08345	Q96DI7
P41214	Q06609
P18505	P46459
P19793	Q96HR3
P30154	P53778
O95267	Q07889
Q9HC98	Q9Y230
P40429	Q8NBJ4
O00716	P33993
Q14457	Q9UNL4
P10914	P51610
Q9GZS1	Q9NYV6
O95484	P56856
P61981	Q8IUD2
A8MTJ3	P16499
Q13573	Q9Y6D9
P38646	Q15653
P31629	P61981
P23467	Q13224
P62877	Q9NZJ0
Q16659	Q71U36
P04637	Q13625
O43921	P06213
Q15834	Q8N302
P0CG48	Q8IVH8
P09486	P26358
O43889	Q09472
Q13416	Q9Y5N6
Q8IUC4	Q9H1Y0
P16473	Q14344
Q05397	Q92752
P35348	Q9Y478
O00232	Q9Y5K5
Q8IXI1	Q96N67
Q16659	Q99418
O75832	Q9BW60
P42229	Q00978
P22612	P54619
P18146	P33993
O60603	P16070
P03956	P18847
P26441	Q13651
O75530	Q14209
O75578	P25940
P42858	Q99963
P31943	Q9Y572
P16520	P48736
O14508	P10912
O43395	Q15428
P29353	P31994
P67775	Q9NPH2
P22626	P60709
P08047	Q16665
P27361	P50607
P15923	Q9NR48
O43586	P46779
P30260	Q9H1A4
P02652	P02654
P17844	Q15788
O14641	O75474
Q09472	Q13625
Q15628	Q92844
P53041	Q9NRI5
O14503	P63279
P62258	Q02878
P10600	P37023
P35606	Q9Y2Q3
P17081	Q8IWW6
26765	P49848
574411	P08183
P46781	P62851
P12814	P43364
P63104	Q9UQL6
P39019	P62979
P16070	Q16363
P62993	Q16288
P13804	P78545
P29475	Q8TD86
Q15370	Q96G25
Q8N8S7	Q99459
Q15669	Q5UIP0
A6NMZ7	Q05397
P19438	Q9BVA1
P01566	P31785
O43765	P10451
Q96SB3	Q9Y243
P01859	P02768
Q6P158	Q9NX58
O60716	P07947
P61313	P62424
O15550	P61964
Q15653	Q9NYS0
O14775	Q01668
O15479	P62280
Q13535	Q9NY61
Q13098	Q9BXL7
P54253	Q9H2G2
P04141	P31785
P67775	Q08999
P46459	Q9Y383
P22681	P31946
P03971	Q9H2X0
440264	Q04637
P55210	Q07817
P01111	P45983
Q13438	Q15796
Q96S52	Q9H490
Q9H171	Q9UET6
Q9NX58	Q9NZI8
P18124	Q02543
Q15744	Q99062
P17081	P46108
O95786	Q99558
P01100	P42224
P46109	Q8WU20
A7E2Y1	P63261
Q13123	Q96N46
P35579	Q9BX84
P16871	P54920
P84090	Q92905
P68104	Q8TBK6
O95299	Q86Y39
P29459	P38484
Q96RT1	Q99569
Q14695	Q8N357
Q13363	Q13465
P10070	Q9NRP7
P01241	Q99650
Q13530	Q9HAV4
P04278	P54819
Q13509	Q15012
Q5T3J3	Q9Y3A3
O94805	Q6STE5
O95169	O95182
P42684	Q70E73
Q16659	Q9NQX6
P50151	Q8TCU6
P62995	Q15287
P47901	Q14344
Q9H7E9	Q9NS23
P10070	Q9Y466
P13196	Q9H7E9
P35626	Q9H255
Q14197	Q9UDR5
P60520	Q9C0C9
P19793	P42575
P09681	P27487
P10145	P49682
P01106	Q15121
O15264	Q9H257
P04183	Q9NYR9
P41236	P62136
P05019	P10721
P84103	Q13573
Q15287	Q96HS1
O14745	P43405
P05112	Q8IU57
Q08211	Q8IWZ8
O95267	Q86WV1
P05121	Q07954
P01892	P43631
Q02928	Q07869
P11387	P14625
P61586	Q8N5V2
P08758	P38484
Q8WUT4	Q99750
Q13347	Q14164
Q14240	Q9GZR7
Q06787	Q13137
P05783	Q8NFJ9
P08700	Q13261
Q9NQC3	Q9NZ81
P62280	P62854
P62266	Q15843
P19532	Q13263
Q15797	Q5T5Y3
P06493	Q92993
P18206	P39019
Q13642	Q9H3M7
P19012	P62195
P62834	Q8WYR1
P11216	P12814
O95168	Q9Y6M9
P09619	Q9Y264
Q13573	Q8NFH4
O95166	Q8NI08
O15273	O15530
O43809	P18754
P05113	Q9UHF4
O75376	Q96T58
P60709	Q99459
P42766	P61353
O75365	P78347
P28715	Q01844
Q07955	Q8IWZ8
P06899	P0C5Y9
Q15759	Q16644
P51617	Q8NI60
P62854	Q15843
P01112	Q04864
P05412	P48507
P42345	Q9HB90
O60496	Q9NVP2
P10914	Q14145
Q969Y2	Q9NR21
Q13315	Q5JTV8
P38405	Q8NGD0
O15264	P04637
O14980	O15392
P63000	Q8N264
P07332	P29084
P08047	Q13952
P04424	Q9H1D9
P51610	Q16576
P07711	P68431
Q14332	Q9Y6F9
P38159	Q8IWZ8
O60716	P00533
P10145	P41597
P35580	P63261
O60739	P29401
P01303	P25929
P43403	P46108
Q06190	Q9Y698
P08172	Q9UK08
P40763	P42701
O95865	Q9NYL2
Q99638	Q9UJX2
P01222	Q9UBR4
P05386	Q13885
P04049	P45984
P62993	Q8IVH8
Q15365	Q96EK4
P62826	Q5TAQ9
P34820	Q8TEU8
P62854	Q969E8
P40818	P61981
P42702	Q969D9
O43765	P42166
P63211	Q14416
P45985	Q02779
P17612	P63218
O43719	Q08170
P01562	Q14626
Q8IY92	Q96NY9
P19174	P21860
Q13315	Q13769
Q13315	Q9UJZ1
P19235	P35225
P04637	Q9Y261
P09471	Q92997
406948	P10415
P30480	Q9UL25
P25098	P32302
Q7L0Q8	Q8IZD9
O43143	Q13595
P35626	Q8WZ94
P62993	Q9NYL9
Q7Z434	Q99942
P33991	Q9UBU7
O00220	Q9Y6K9
Q13315	Q9Y2H1
P16333	Q96KQ7
P19838	Q05639
P01112	Q16204
P09601	P27540
P19838	Q9Y6Q6
Q9BZ23	Q9H2U1
P06756	Q8IZC6
P30450	Q14952
P55084	Q9H492
P46734	Q13153
P50453	Q5T3J3
P22612	Q09472
P45984	Q9Y4H2
P01571	P26992
P78352	Q05586
P05019	P51812
Q13263	Q15047
P42701	Q5VWK5
O15264	P19838
O14576	P68366
P17302	Q71U36
P01857	P02787
O15162	Q15637
Q8NFM7	Q9Y4K3
P05106	Q13751
P16471	P26441
O75376	P10828
P36873	Q13698
O43167	Q99750
O00232	Q9Y4K3
P10827	Q09472
Q15047	Q96SN7
O15320	P55157
P51460	Q9UM73
P10914	P63165
O15105	Q99717
P18848	Q99871
P04049	P27348
P24941	P49918
Q08043	Q5TCQ9
O95343	O95677
O60493	P40337
P07900	Q00005
Q13535	Q6P1J9
P16471	Q9ULV8
P50150	Q8WYR1
P55157	Q9Y2H0
Q9NRI5	Q9NV70
Q9GZT5	Q9NPG1
Q8IXM3	Q9HAU4
Q04828	Q9NX08
O00750	P62993
Q13322	Q99558
P13805	Q9Y328
P05154	P06870
Q96PM5	Q9Y2X8
P11171	P37802
P05413	Q59H18
P51617	Q13158
Q13243	Q15287
O95471	P78369
P35626	Q96R27
P08238	P63261
A4D0S4	P26010
Q99816	Q9UPQ4
P26038	Q13464
P21815	Q13683
P35222	P42574
Q01081	Q8IX12
P25963	P34932
O95299	P17568
O96015	Q5TD97
O95208	P22455
P51532	P63104
P17301	P22612
O15264	P13639
O60739	P63279
P20138	P46109
O00459	P16520
O60641	Q9NYJ8
Q9HAW0	Q9NVI7
Q8TCW9	Q9ULZ3
P46778	Q9NX58
O95715	P51686
O75365	P40121
P51617	Q15306
P35637	Q15287
Q15054	Q96S55
O15198	Q9NSV4
P51668	P51965
O75044	Q9HCK4
P13945	Q8WTQ7
P31947	Q8WWL7
P62487	Q8IY92
P05112	Q04206
Q16531	Q92830
P01100	P18848
P31943	P52597
406957	Q15796
Q9Y4K3	Q9Y616
O14618	Q02410
O75554	P23246
P54253	Q9H869
O15530	Q6P5Z2
O76093	P06213
P06213	P12034
O95831	Q99759
O14933	P41227
P55199	Q9NQC3
Q05519	Q92620
P18077	P83731
P62837	Q86YT6
O15264	P60842
P54257	Q9NZM5
O60739	Q16658
P16298	Q9NYG5
P07900	P15172
406901	Q9UL18
O14924	P26010
P01241	Q99062
P06241	P48736
Q13535	Q9UJA5
O00308	Q16630
Q01344	Q86WN2
P43243	Q9Y6E0
O00221	P54136
P42331	Q7L0Q8
P52756	Q07817
Q13535	Q9Y6Q9
P42224	Q9Y566
O95047	P32121
Q08211	Q92956
P05106	Q8IZC6
P06213	P52797
Q92934	Q9P1W9
O43353	P45984
Q05215	Q13469
Q6FI81	Q9NPF4
O95169	Q86Y39
O75970	P28335
P48454	Q13522
P04222	P62158
P51681	Q99616
P09038	Q07890
Q15645	Q86YR5
P49418	Q15078
O00255	P51610
P16333	P26373
Q8IXI2	Q9UPV9
Q12873	Q8N5A5
P14598	Q13153
P48023	Q15788
P02743	P31994
P00533	P22681
P07942	P16070
P10914	Q9NYQ7
P19838	Q13464
Q5QNW6	Q9BY41
P55072	Q8NHG7
P30480	Q9H9A6
P53350	P56537
P00734	P05546
P61266	P63027
P10721	P46109
P56385	Q9HCK5
P46379	P62979
Q12824	Q68CP9
Q13509	Q9NY65
Q07157	Q9Y5S2
O00716	P40692
O95159	P56134
O94759	P49716
Q13435	Q15427
P05106	Q86YW0
Q99877	Q9P0U4
P18887	Q96FI4
P05556	P49747
O60244	Q93074
P22670	Q9Y5V3
P98175	Q15637
P18206	Q08380
P60484	Q06830
P55769	Q5UIP0
P31751	Q13233
O76070	P26038
O60566	P53350
O00212	Q13153
P48039	P50150
P35626	Q8NGZ9
P16885	Q86XP0
P32455	Q99873
O75116	P19634
O60674	Q13153
P18146	P32456
P62328	Q14451
P50591	Q9UBN6
O75182	Q9Y6D9
O43818	Q9HCE7
P60709	P67809
P30480	P43307
Q13616	Q9HAW4
Q5JSL3	Q92730
P51531	Q68CP9
Q92616	Q99459
O43663	O95239
P51965	Q06587
Q9NRI5	Q9UPW5
O75582	Q12824
P61158	Q9Y4K3
O95467	P13945
P24864	P49959
O60238	Q8NBE8
P02679	P05106
P01023	P43629
P47914	P62945
P00533	Q13393
P14866	Q9UL18
P11142	P84090
P22087	Q9UKS6
P08514	Q01955
P07942	Q9UKX5
O76093	P22607
Q9ULH0	Q9Y3A3
P67775	Q15759
P26012	Q13683
P04406	Q15046
O43497	Q05586
P55854	Q99700
406894	Q15910
Q13315	Q9H4L7
Q08945	Q14566
O60934	P63165
Q13616	Q9Y4K3
Q04771	Q13705
P09466	Q7L5N1
P01589	P15884
P62136	Q12972
P08476	Q8NER5
O95467	P21918
P60520	Q9Y4P1
Q9UKS6	Q9ULH1
Q9BQ83	Q9UJS0
P55209	Q92793
P54253	Q96HA1
P12980	P13945
O60673	P04637
P49407	Q96J02
P28562	Q13164
Q13315	Q6P2E9
P07437	Q13546
O95059	P78346
P04637	Q96KQ4
P15812	P18146
Q00994	Q12933
O15239	O95299
Q86TM6	Q93009
P08887	Q9UBD9
P26010	Q01955
Q13625	Q6ZUJ8
Q13425	Q16849
P08138	P63000
O15198	Q03001
P25208	P35638
P01106	Q9NYK5
P16104	Q02809
O94817	P18146
O14827	P22612
O95832	P56748
P13798	P30480
P67809	Q9UKV8
406935	Q53EP0
O43920	O75306
P62258	Q9BYG4
O15287	Q13813
Q07869	Q15648
O14640	Q9NPB6
P06213	Q92914
O95400	Q9Y5V3
Q8TDR0	Q9NYB9
P08581	P48736
P46783	Q9Y4K3
P42575	Q9HB75
P01889	P61106
P52597	Q8IWZ8
P56545	Q9UIF8
P29350	Q15116
O00221	P23246
O43639	Q05397
P46778	P62910
P05230	P67870
P20963	Q9H6Q3
O95997	Q01094
P13501	Q01201
P07900	Q9NRG4
Q15648	Q9Y4A5
O96000	Q9P0J0
Q13368	Q9NVX7
P17612	Q92736
P06746	P09429
Q13555	Q8NER1
P13637	P28482
P35232	Q9HCU9
P30153	Q14BN4
407053	O75030
P04637	P28360
P10827	P29590
P27348	Q9NRR5
P18124	P62891
P02748	P13987
Q15843	Q92616
P28749	Q15796
P27824	Q9HAU4
P35626	Q8NGA6
P13500	P61073
Q16629	Q8IWZ8
P30480	P31689
P35222	Q9UP38
Q8TDB6	Q99466
P54619	Q16877
Q02363	Q08999
P16333	Q99259
Q9NZI8	Q9UET6
Q5XKL5	Q9Y4P8
A0JLT2	Q9Y2X9
P07202	Q99062
O94776	Q13547
P20594	Q09472
P19793	Q9NRR5
Q86W42	Q96FV9
O75925	P84022
O75159	P26992
P10914	P15260
P21802	Q9Y264
P52736	Q16659
Q13315	Q99081
P35609	P55884
P15923	P50553
P02766	Q9UQB3
O75530	Q13619
P15336	P17096
Q16637	Q5T3J3
P61978	Q9BTD8
Q10570	Q12996
P07741	Q9UET6
P38936	Q9Y600
P05231	P16471
Q9NQT5	Q9Y2L1
B2RTY4	Q15653
P16520	P30939
P15336	Q13555
O15551	O95049
O94805	Q8NFD5
406881	P01116
Q93098	Q96HF1
P17612	P48058
P53582	Q9BRT8
Q12974	Q93096
P40429	P47914
P01112	Q8TDF6
P48556	Q15008
P60709	Q9Y2K3
O75154	Q9H0H5
P37231	P48443
Q2NKX8	Q8TDY2
P63000	Q01968
Q9HAW0	Q9Y678
P22612	P52566
P23458	P31939
Q15116	Q9BQ51
P50213	Q9Y6K9
P17844	P19174
P49674	P61981
P99999	Q9Y4K3
P30837	P61421
P08069	P46109
P04626	P28482
Q13137	Q8NCU4
Q13796	Q15788
P22392	P68402
P98175	Q9H9G7
P03372	Q96LA8
P52630	Q9HBE4
O60391	P62140
O14641	O43395
Q12906	Q13315
O14939	P62330
P19876	P32246
P84103	Q8IYB3
Q92844	Q9Y4K3
O43676	P03886
P21802	Q00987
P24385	Q99612
O75578	Q16787
P06241	Q06124
P30281	Q01094
O15144	P12830
O75970	P32745
P63104	Q9Y6K9
P09237	Q96GW7
406962	Q12778
P29590	P68400
P43699	Q13569
P62081	P62244
P10916	Q99972
P17021	Q9GZM8
P13725	P42701
P08151	P22612
P04637	P51587
P15336	Q8WYK2
P01106	Q86VU5
Q15287	Q6VN20
O14976	Q9UM73
O00459	P07333
O14980	P46527
Q96J02	Q9H3D4
P08581	P46109
P56945	Q13797
O60925	Q14203
P84996	Q99677
P04626	Q9H6Q3
P33993	Q9NSU2
406983	Q96JJ3
Q13546	Q96CV9
Q03518	Q14194
Q70Z53	Q9UHR5
O43676	Q9P0J0
P12318	Q8IYS5
P50914	Q92901
O15399	P22612
Q96ED9	Q9H4K1
Q16585	Q92629
P12931	Q9H9L3
P35222	Q9NQB0
Q496Y0	Q9HCE7
Q15797	Q92765
O15524	P08069
P16220	P35680
406906	Q6WKZ4
P11142	P18206
P08865	P62269
O60814	Q8IUE6
O14933	O94941
P22681	P45983
P09874	Q9Y478
P01889	P46060
P48730	P84022
P08151	P49674
P13569	Q9NYL9
Q2TAZ0	Q9H0R8
P84022	Q9HAU4
Q96KM6	Q9BXP8
P15153	P52564
O15294	P51610
P23511	P25208
Q12789	Q9UKN8
O75578	Q9UQP3
O15198	Q8NEV8
Q13619	Q6UXN9
Q16543	Q9BSF8
O60925	Q5UIP0
P05783	Q16539
Q00722	Q9ULW2
Q13107	Q7Z6Z7
P26441	Q05084
P35222	P51532
O14920	O14965
O15392	P04637
P26232	P35222
Q07817	Q12983
O14818	P28070
P08246	P10809
P10599	Q06546
O43809	Q92530
P20248	Q12834
Q6ZN18	Q86SE5
P78509	Q13501
A0JLT2	P52292
Q05513	Q96A00
P26441	Q16394
P52292	Q99459
Q07817	Q96BY2
P22612	P63215
P01566	P40238
P12755	P84022
P08107	Q96HS1
P05141	Q6WCQ1
P43355	Q13547
Q96BY2	Q9NRR5
P51817	Q14571
P50402	Q15417
Q99459	Q9H0S4
P06729	P19256
P08908	Q9UBU3
P19438	Q14644
Q08116	Q9BWH2
P26678	P51817
P62745	Q53QZ3
Q8N5S9	Q9Y478
P25490	Q00987
Q9H2G2	Q9HCQ7
P30511	Q13241
P16104	Q08380
P42338	P60484
P12931	P21860
Q13535	Q15291
P05386	P63173
Q96B96	Q9UGN5
Q00978	Q13287
P0C0S5	Q8WUI4
O00303	P30480
P00441	P04156
P36873	P49427
P01111	P15056
Q13137	Q14164
P78371	Q9H0Y0
O14640	P68400
O95613	Q96K30
P09471	Q13561
P19419	P27361
O75815	P62750
Q13362	Q86US8
Q14106	Q8NE35
Q13564	Q86XK2
P22392	Q9Y3F4
P01116	P07910
P06241	P54253
P05423	P52434
P49682	Q99616
P01106	Q8NCB2
P46109	Q99704
P49407	P62714
O60658	Q00653
O14727	P98170
O60381	Q15797
P63104	Q13111
O43707	P13612
Q15797	Q9ULH7
P42224	P51813
P06730	Q9NRG4
P01308	Q15418
Q16143	Q96BT3
P62888	P62913
P06241	P06865
O43684	O60566
P25024	P78556
Q8IY67	Q99459
P61927	P62910
P10145	Q16695
Q02156	Q9H492
406956	P84022
P68363	Q9BUF5
P0C5Z0	Q969S8
P23396	P63104
O43252	P16220
O60503	P22694
O14602	Q99613
O00401	P63261
O60671	Q99638
O75367	Q13547
P18827	P28482
P17302	Q13509
P15153	Q8N392
P39023	P62829
P40933	Q08334
P11234	Q13393
P05386	P62910
P63104	Q9Y613
O75461	Q99708
Q96BA8	Q9Y243
Q9H1J5	Q9ULV1
Q9ULJ6	Q9Y6K1
Q0VDF9	Q12933
Q13315	Q8N5F7
O76081	P00519
P17844	Q13315
P10415	P99999
P05387	P46779
P63104	Q8WXG6
O43557	Q06643
P04637	Q92831
Q12933	Q9NP84
Q01094	Q96A56
P19174	Q68DD2
Q13418	Q15118
P18206	Q15654
Q15369	Q9H257
P01889	Q9NR30
P19338	P61586
P10144	P11362
O15264	P62826
Q07157	Q13813
P00519	P04637
P36578	P62888
P0C0S5	Q9NQS7
406955	Q8WYQ5
P48643	Q66LE6
P00450	P27540
P16333	Q8TB24
Q9NQ66	Q9UK08
P62837	Q9Y4L5
P17676	Q9NR55
P02462	P31431
P14678	Q6Y7W6
Q15796	Q9NQ69
O14802	Q9NVU0
P35222	Q9BZK7
P45983	Q13233
Q13444	Q8TEJ3
P01116	P63096
P08311	P49913
P22694	P60510
O75925	P18031
P21802	Q9ULV8
Q07157	Q9Y5I7
P05014	Q00653
P48736	P63000
O94817	Q9UH99
P05937	Q9H1D0
P09884	Q92547
Q5VTR2	Q9BRP4
O60341	P56134
O43889	P31751
P14678	Q9H1I8
P05388	P62424
O75915	P43005
P01303	Q13131
O43491	Q13315
P51686	Q9NRJ3
P30154	Q66LE6
Q14203	Q6ZU52
Q13698	Q9P2W3
P28324	P28482
P63146	Q9GZS3
P04156	Q9BT17
Q7L0Q8	Q8IVF5
P53779	P54652
Q8IZP0	Q9UQB8
O76071	Q8TEX9
Q03518	Q9BQ66
P18077	P29372
P63104	Q92628
Q13315	Q9UPS8
P19387	Q96CB8
P01111	Q8TD86
P35548	P56178
P60709	Q9UM73
P10721	Q9GZV9
Q13315	Q9UBS4
O94941	P68036
P45983	P63218
O75925	P42226
P42345	Q96B36
P18146	P55197
O95837	P32238
P0C5Z0	Q9UBN7
Q8NES3	Q99466
Q13177	Q8TEJ3
Q15008	Q9BQ83
P67775	Q9Y243
P0C0S5	Q9GZN1
Q16665	Q9Y2N7
P24928	P50613
P22612	Q08828
Q13616	Q7Z6M2
P15336	P15407
P35609	P55318
P15498	P19174
Q13315	Q9P2J8
P0C5Y9	Q16778
P11047	P55268
O95167	P03923
P19532	Q96KN7
P60228	Q9H9Q2
P19235	P29350
O00257	O95503
P01106	Q96BR5
O76001	P32121
Q8NB91	Q9NPD8
Q5UIP0	Q9UN74
P29590	Q04206
Q04721	Q9Y2E6
O96017	P18887
Q8WW43	Q96BI3
O75815	P26639
P31943	Q00839
P06730	P63165
P45984	Q14934
P00749	P98164
O75554	Q12874
Q9H171	Q9Y2V3
P10275	P23771
Q86U06	Q9P2H0
Q8NEB9	Q92622
Q13188	Q9H814
P01106	P04035
P38159	P52756
Q15366	Q8IX12
P53779	Q15759
P08123	P18084
P42226	P49715
P23508	Q00688
O15520	P21802
O95782	P63010
P29350	P42701
P49815	Q9UGI9
P54257	Q9H7E9
O43504	Q96AW1
O43390	P46108
Q93074	Q9Y4A5
O43242	Q14164
P04637	Q05397
Q07890	Q92730
P61964	Q92831
O75586	Q9NWA0
P08648	P55268
Q13162	Q14197
Q86WN2	Q99062
P06241	P43403
Q01196	Q12824
P08620	P35916
P98170	Q8N668
P13232	P78552
Q7Z434	Q9H6S1
P07333	Q02548
Q14164	Q96GD0
O75525	P38159
P10275	P35269
Q01780	Q9HAU5
P15248	P32927
P21980	Q96KM6
O60551	P09525
P50238	Q5JY77
O00291	Q16659
O60934	Q09472
Q13153	Q9H4E5
Q13363	Q13422
O14576	O95793
Q9P031	Q9Y3A3
Q14257	Q15628
Q15262	Q9UM73
P09874	Q16665
P35626	Q8NH74
P30480	Q9UNM6
P52756	Q13151
Q9H171	Q9UL18
P33993	Q08945
P04626	P12931
P16520	P45984
O43674	O95298
P20042	Q14232
O95072	Q96GD4
P24394	P35225
P19419	Q02535
P30480	P62714
P14784	P15018
Q8N5F7	Q9UJV9
O95967	Q9NRQ2
P62256	Q9C040
P05013	Q9UHF4
O60732	P49406
Q9H223	Q9Y5J5
P10828	Q92793
P15509	Q9NPH9
P16220	Q9BXJ7
P55196	P62070
P07910	Q9UL18
Q93077	Q9UQL6
O76054	Q08211
P15407	P17275
P17081	Q9UKI2
Q08209	Q9NPC6
P78552	Q9ULV8
P63000	Q14289
P52815	Q04206
Q92731	Q9NVC6
Q15717	Q9UKV8
Q13315	Q13427
Q5SRE5	Q9UKX7
O15230	Q496J9
406929	O75116
P31946	P48729
O75084	Q00722
P11215	P51572
P04632	P36575
Q9UKX5	Q9Y4G6
P04150	Q9NPF4
P49863	Q13509
P08238	Q15750
O15105	P05121
P23396	P62851
P01571	P26951
P10721	Q9UQQ2
P32248	Q9Y4X3
O14757	Q13535
P62899	P62987
P04637	Q9ULZ3
P01574	Q01201
Q13813	Q9HAU0
Q9P2S5	Q9UNL2
O95071	Q8IY92
P13637	Q86UA1
P02452	P05106
P29460	P42701
O75533	O94817
Q99684	Q9Y6X2
P29353	Q9H5I1
O14672	P25025
P25490	Q53TQ3
P25686	Q13485
P32121	Q8NGX8
P10070	P12755
Q96JN8	Q9UJU6
Q01629	Q96EY7
Q8N1C3	Q9NQX3
P35916	Q92913
P06213	P52798
P38405	Q8NH19
P10586	Q03135
Q13547	Q9UBP5
P17066	Q99836
P68431	Q96T68
P41091	Q14232
P31785	Q9NPH9
P16220	Q96AQ7
O75461	Q01094
Q12959	Q9BTT6
P50570	Q01344
P51116	Q5VSY0
P23443	Q9Y243
P55075	Q02763
P07948	Q15723
P12755	Q96ST3
P01111	Q13555
O00329	P63215
P10912	P15018
O14964	Q92783
O14713	P22392
P49639	Q03164
P31947	Q00839
Q14738	Q15172
406883	P01111
P53350	Q9UKA1
P05771	Q9NQA5
P26006	Q07889
O75925	Q05516
P63096	Q14832
O60934	Q13185
Q02750	Q9H4A3
P34931	Q00613
P50053	Q13418
Q15003	Q99459
P08727	P63104
P09693	Q14790
P41221	Q9ULW2
P20718	P42574
Q13315	Q8TD55
O95967	P27658
P45984	Q16829
P15514	P29034
Q02388	Q8IWR0
P52272	Q9BUJ2
Q6ZW49	Q9UBL3
P19387	Q5T3J3
145781	O15304
P02768	P13646
P14317	P50570
P01106	Q93096
