#node1	node2
P22695	P31930
P25788	P38936
O60266	P22612
P38936	Q9UHC7
P32121	Q8NGS1
O14512	Q8IZP0
P01106	Q92673
P42345	Q05655
P30443	P43630
P55157	Q9UN72
P01133	Q07889
Q15003	Q9Y2Q3
P04632	P07384
Q13387	Q96AC6
P04899	P35498
Q9H9F9	Q9Y5K5
O15350	P46934
P05129	P14598
Q12996	Q14164
O75147	Q8WZ42
P29597	Q14626
P11021	P56945
P29350	P43626
P04049	Q13188
P62805	Q9Y5K5
O75159	P10721
Q9BQ75	Q9UKV8
Q93079	Q9UQL6
P05161	Q92793
P00519	Q8IZD9
P45974	Q92995
P50993	P51817
P08559	Q9P0J1
O75400	Q70Z53
P04406	Q01105
O95405	Q8IXI1
Q16585	Q92629
Q13185	Q9H081
P06401	P45983
P04406	P28482
Q5VVX9	Q9BYE7
P61313	P61353
P03372	P04155
P30622	P68366
P40337	P68036
P08590	P13533
P52292	Q16254
O43432	P52735
Q6P1J9	Q9P2I0
O15111	P68431
P25963	Q71UM5
Q01081	Q9BUJ2
P04637	P20042
P30480	Q15758
Q9HCU9	Q9UQL6
Q6UXN9	Q9P2I0
O94907	P35222
P04150	Q7L5N1
Q15172	Q9BXT2
P30480	P43307
O43541	Q16659
P04637	Q00597
Q96I34	Q9NRX4
P10242	Q15759
P51116	P61106
Q6P2E9	Q99459
Q13107	Q9Y4K3
P34820	Q96NZ8
P28482	Q9UKL4
P55072	Q9Y2R2
Q13535	Q14103
P01138	P17948
O43521	P17612
P31431	Q05397
P07948	P20936
Q14451	Q9UM73
O43290	Q15428
A8MYU2	P51817
P15735	Q8N806
P39023	Q9UKV8
O14978	Q9NWS9
O60285	P06702
P40337	Q04724
P68363	Q9H4B7
P63208	Q96EF6
O75015	Q15759
P06400	Q13029
Q07817	Q9HBF4
P01106	Q96RU3
O43318	Q96F46
P11308	P50549
P04899	P29474
P34998	P63092
P62136	Q01668
P38936	P62328
O94907	P04637
O14640	P98172
Q14164	Q15691
A8MYJ7	P60510
O60494	P27352
Q9H0E3	Q9Y6J9
P53355	Q13618
Q92636	Q9H0R8
P27361	P49585
P08138	P61586
P43686	Q9Y4K3
P31946	Q9UI47
Q9H2G2	Q9UQ16
P03928	P24539
Q5VTD9	Q9UBX5
P48023	P98171
O00716	P51531
O96001	Q13976
O14965	O75410
407036	O43521
O43929	P25205
P40425	P78537
O95208	P00533
O95453	P24522
O60266	P62158
P23760	P55157
O75496	Q01094
P35080	P49771
O75578	P46108
P62993	Q92918
Q96B97	Q9NR46
O60244	P35609
P05305	P24530
P40337	Q16878
P20073	Q13509
P06241	Q9H204
P11831	Q9NS56
P62158	Q6ZSY5
O14581	P35626
P45983	Q9UPT6
P35968	Q9Y371
Q13439	Q99608
P41743	Q9Y2T4
Q13242	Q92620
O75689	P41743
Q99062	Q9GZX6
A0JLT2	Q9UHV7
Q13936	Q9UBI6
P34130	Q16620
O15399	O95180
P60763	Q92608
O75554	P0CG12
P22626	Q8IX12
Q02156	Q9H0R8
P04629	Q9Y5J5
P52198	Q5T5U3
P61586	Q53QZ3
P12004	Q8IWY9
O00165	Q04206
O60287	Q16659
Q86YT6	Q9H6S1
O00574	P25098
P04271	P23297
P14316	Q92831
P62993	Q14451
Q7Z4I7	Q9H422
P05129	P50151
Q08170	Q99590
Q6WCQ1	Q86UA6
P23508	P36543
P52952	P63279
O14950	Q13464
P26599	P52756
Q96NY8	Q9NQS3
P22694	P50993
Q07866	Q6UWE0
P62745	Q8NF50
P36897	Q9Y4K3
O15287	Q00597
Q53ET0	Q5MIZ7
Q08945	Q16778
O43347	Q8ND90
O15230	P46109
Q99871	Q9NVX0
O00459	P22455
O75352	Q15758
Q9HAW0	Q9NVI7
P31942	P52597
P11171	Q99436
O14493	Q8NI35
Q05513	Q9NR12
O43809	O75530
O15111	P41279
P78527	Q8IW19
O60496	P06239
P48551	P63244
P38405	Q8NGB8
P53582	Q96T58
O76093	P00533
P52747	Q9Y333
P00519	P21860
P05412	Q9NR55
P04406	Q13952
O94941	Q9Y2X8
P08069	Q9Y6I3
P22694	Q9UK08
P55211	Q13418
P51784	Q9Y4E8
Q5VYV7	Q8IY92
P10398	Q05655
Q712K3	Q96AD5
Q14990	Q96R06
P12268	P18146
P42224	Q13554
P16333	Q9BY71
P61960	Q9NR28
Q06323	Q9UPT9
P78317	Q9HBE1
O43708	P16333
P13805	Q13573
P24385	Q14209
P37231	P56524
P46527	P63208
P01106	Q9UI08
172	P03372
O00459	Q9HBH0
26765	Q16637
P19883	Q05655
P50552	Q13797
O15297	Q13315
P08238	Q86UA6
Q8IZ08	Q9Y5V3
Q9NV56	Q9UK53
P62955	Q13554
O43167	Q99750
406916	O00716
P51532	Q13547
P31751	Q969Q6
P62258	Q99469
Q9H4G0	Q9UDY2
O75528	Q12962
P63173	P84098
O60880	P20273
P63104	Q9HBL0
P16070	Q8WVJ9
O60814	Q8WUI4
406891	O00206
P06756	P56945
P15408	P35638
P19838	P80188
Q7L804	Q9ULV0
O60346	Q14160
P60763	Q9NR80
Q96BK5	Q96KR4
Q15369	Q96BK5
Q96FW1	Q9UKE5
P62993	Q92973
P61088	Q9Y3C5
P01111	Q16204
P21675	Q04206
P04183	Q71U36
Q86UE4	Q9NWQ8
P35221	P60709
O15397	P09132
P06899	P0C5Z0
O14745	P35241
P60953	Q5HYC2
P54727	Q13148
P35557	Q13233
P26651	P49137
P09619	P11487
Q13426	Q9NS56
P62829	Q00987
P16403	P78527
Q96J02	Q9H469
O60925	Q12766
Q96PU5	Q9Y4G8
P18848	P49715
P09914	P51532
286828	Q13315
P01111	P27361
P04183	Q06323
P42677	P62280
O75369	Q13153
O95544	P26641
O75369	P19174
P61218	Q9Y535
P04637	Q16539
P10275	P55345
Q12789	Q9UKN8
Q9ULA0	Q9UPW8
O15117	O75563
P51610	Q92560
P31947	Q92625
P10914	P40763
P16220	P18075
O75608	P40337
O60231	Q13485
O43680	P61968
O00422	P09455
O15394	P13591
P52948	Q9BUJ2
P32121	Q15622
O43914	P78324
O95793	P62424
Q99728	Q9BX63
P09341	P51686
P61254	P83731
P05388	P63173
407028	O75610
P61981	Q13427
O75478	Q92831
P38405	Q9UKL2
Q15653	Q9NYJ8
O15264	O43524
O95182	Q16795
P59998	Q92747
P39023	P62906
P08620	P16234
Q9P2H0	Q9Y265
P48507	Q9Y5J5
Q7LC44	Q9GZT8
P38405	Q8N127
P01106	Q13946
P46527	Q04917
Q52M93	Q9NPQ8
Q01959	Q16623
O95400	Q01081
P11309	P42226
Q03518	Q86V81
P08581	Q9HAU4
P35626	Q8NGT7
P12109	Q13683
P78406	Q9UBU9
P30048	Q96S38
P12931	P49407
P15153	P41743
Q13315	Q9H5H4
P49959	Q99708
Q93009	Q99426
P51532	Q9C0C9
Q15843	Q9UET6
Q13616	Q4G163
O14640	P31749
P16118	Q16254
P17948	Q05397
P31751	Q13233
A1A4S6	Q9H4E5
P60568	Q99062
P35609	Q13224
Q9H9D4	Q9Y333
O95433	Q9UK85
P68133	Q9UI47
Q16543	Q6P1N0
P61077	Q9Y3C5
P01100	P56279
P30048	Q00005
P30519	Q8NHY6
P22736	Q9HC38
P23527	Q96KK5
P01730	P01912
P42345	Q9Y243
P02775	P32248
O00273	Q96NT1
Q8IYL3	Q92993
P42830	P51686
O43318	P62877
P42771	P45983
P17275	Q16539
P15153	Q9Y4W6
P63146	Q6ZT12
Q15365	Q92620
O95373	P63104
O95168	O95182
Q86YT6	Q96B02
Q08881	Q09472
P55196	P62834
P12236	Q99759
P10415	Q07820
P07996	P14780
Q9NVC6	Q9Y4A5
O95997	Q9UJX6
P38936	P52742
P35626	Q8NH40
P27361	P51817
P26442	Q96B02
P21673	Q8TBB1
P39023	Q9Y478
P67870	Q9BVA1
P10301	Q8WZA2
C9JDP6	O95471
P04626	P42224
O43674	Q86Y39
O15259	P21333
O15264	Q86XL3
O14512	Q969J5
Q15393	Q96GM8
O95400	Q15029
O95136	P50148
P22612	Q14573
P02771	P42574
Q13838	Q86V81
Q09028	Q9UK53
P26641	Q05397
P61952	Q92569
P01100	P45983
P63000	Q2M1Z3
Q92905	Q9UBW8
P27361	Q9BZM1
Q16576	Q8NHZ7
P55157	Q9NZQ3
P15884	Q96I15
P50148	Q9UBY5
Q14790	Q9NS56
P30153	Q9Y375
P09651	Q05519
O14610	O43306
O43809	Q14164
P51817	Q05397
P27986	Q92835
P18206	Q92499
P38405	Q8NH93
Q96IP4	Q96KS0
P62249	P62979
Q14160	Q9GZV5
Q13422	Q99708
P52564	Q9Y2U5
P61224	Q13094
P53778	Q9Y5S8
P62995	Q13247
Q96KM6	Q9BRK5
P16471	Q15303
P63010	Q96CW1
Q04724	Q15102
Q13308	Q9HCS4
P19388	Q9HCS7
O43795	O76071
P46937	Q15796
P30153	Q9UPR3
Q9UKV8	Q9UL18
P23588	Q92832
P19419	P28324
P02768	Q13315
O95467	Q01718
O43915	Q02763
Q5SZQ8	Q9NWB1
O15498	Q9UNK0
Q00341	Q07889
Q96EP0	Q9BYM8
P09471	Q9ULV1
O75044	P61586
P17844	Q92597
Q08462	Q13555
P30486	P43628
P12980	Q8IZS8
P51970	Q9UI09
O75626	Q15306
P11387	P11388
P01106	Q15813
P46108	Q96T58
P00488	P05160
O95990	Q15834
Q99549	Q9P0V3
Q01201	Q9Y265
P14598	P31749
O43914	Q9Y6Q6
O43524	Q13485
P49841	Q00987
Q15828	Q96BK5
P52565	Q16659
P54253	Q9UBD0
O14508	Q9Y4H2
Q12933	Q9Y4K4
O43707	O75382
P18440	P41227
Q16777	Q8WUI4
P58876	Q8WUI4
P53420	Q13797
P21675	P28749
O14543	P08069
P24385	P38398
Q13561	Q13573
P33991	P53350
P46108	P51813
O95622	P09471
P12931	Q8TBB1
P67870	Q8TAE8
P18206	Q9UQ03
P01106	P33993
O76064	P38398
P23497	Q9BXL5
P60953	Q9NPB6
Q14164	Q6NZ67
O00206	O43353
P04150	P28702
O43707	P23229
P16220	Q9UM01
O75251	P03901
P16220	Q9Y4K1
O60739	P19105
O00186	P18146
P41594	P50148
Q9NX76	Q9Y6W6
P01579	Q13651
P40939	Q9Y478
O75593	Q15583
P49247	Q9NP79
P05114	P05204
P35268	P62424
P84022	Q13501
P51610	Q9UKI9
P01160	Q9NRR5
Q8NER5	Q96S42
P13232	P26992
Q16526	Q99750
P55795	Q86V81
Q01638	Q9NWZ3
P49238	Q8NHW4
Q02410	Q9P2E2
O75821	Q16637
P60660	P62993
O14512	P42226
P63208	Q6PJ61
O14610	Q08828
P01861	P42226
O76061	P28300
P84103	Q14103
P04637	Q8N726
P04181	P60953
P50542	Q96CN9
A1A4Y4	Q00978
P04217	P63208
O00238	Q9UF11
O43597	P53384
P26717	P30511
P30154	P67775
Q96FW1	Q9Y478
P02768	P35368
Q92851	Q9Y6K9
P29622	Q16659
P17676	P18848
P55081	Q8TAD8
O43187	O75643
Q13797	Q9Y478
Q9P2I0	Q9UKF6
Q16891	Q96CW5
P40337	Q16658
P35813	Q5FBB7
P54259	Q86TM6
P61088	Q92993
P01375	Q13200
P46736	Q6UWZ7
Q13554	Q13557
P16471	Q16619
Q14147	Q14181
P01303	P20382
O00231	P55036
O60353	Q9NQ66
O00273	P42574
O94916	Q08209
Q96G25	Q9BTT4
P78527	Q12906
P40692	Q5T1H1
P62834	Q8IV61
P38936	Q5T3J3
O75112	Q9NP98
P51965	Q9Y4K3
P31749	Q96BA8
P01106	P60763
Q16637	Q8IZ69
O00472	O95402
Q13315	Q8IZ52
P10912	Q9Y2R2
P01112	Q9UQ13
Q13526	Q9H9S0
O43166	P58400
O15524	Q9UHF4
P08183	P23511
P32121	Q8NGI7
P05067	P19086
P13984	P19387
O15111	Q12933
Q8NEK8	Q9BQY4
Q15366	Q8IWZ8
P46087	Q13233
P19838	Q8N163
O14744	O95863
O95816	P19838
P49454	Q02224
P45983	Q03112
O94955	P51151
P05013	P24394
Q96H20	Q9GZT8
O43353	P21796
O95777	Q16342
P27361	Q9Y6W6
O60739	P52907
Q8NFM4	Q9HAV0
Q9NRX4	Q9UJW3
O43617	Q8WVT3
O75385	Q9C0C7
O14964	P05783
Q96CG3	Q9BXS5
P60022	Q12851
Q9BUJ2	Q9UBU9
P01111	P06756
P15248	Q8N6P7
Q13698	Q15173
O43914	P43628
Q86YV9	Q96L34
P15311	Q13158
P61927	P62945
O14610	Q13972
Q9UD71	Q9Y243
P42858	Q9BVJ6
O00329	P35568
Q03112	Q92769
P49917	Q96T60
P29401	P40337
P11021	Q96IZ0
P10586	Q92529
Q9UF02	Q9Y5P8
P54253	Q96HA1
P24941	P26038
O60296	Q16445
Q14005	Q99712
P17252	Q9NRA0
O94782	P12004
O43734	P10914
O95600	P08047
Q13435	Q8TBK6
O00144	P56704
P08138	Q92569
P50991	Q9UHD2
O96020	Q9UJX2
P07305	P52292
P46108	Q9Y3L3
O14939	P11234
Q7L590	Q9BXI2
P29353	Q99704
P67809	Q9C0C9
P35080	P68133
P20908	P26006
P01375	P42345
Q05655	Q8TAA9
P15172	Q08999
O75306	O75380
O75940	Q9Y4A5
O14964	Q8N5R6
O00501	O14493
P57678	Q99459
P12830	P67870
P02649	P04156
P05231	P52333
406950	P10415
A6NIT4	P26992
O00329	P04049
P60880	Q8NFX7
Q96DE5	Q9UJX5
O95817	Q8TCX1
O76071	Q13085
P62805	Q53TQ3
P22694	P61952
O75586	Q9NWA0
O60674	Q13191
P54284	P63151
A6NMX2	Q7L576
P05387	Q01201
P36873	Q12879
O14544	Q08334
O43264	O75365
Q05397	Q8WYR1
P30050	P62910
P35222	Q9ULW2
Q00688	Q9UKE5
P23508	Q9Y295
Q14185	Q92730
O43497	Q09428
Q92905	Q9BXL7
Q8TAD8	Q9UJ78
P16870	Q5UIP0
O14744	Q9NQ92
407035	Q9NRM7
Q13617	Q86VP6
O76096	P07711
P12757	Q96RL1
P00533	Q71U36
O00716	P37231
P08754	P48736
Q9BWF2	Q9NQC7
P50552	P53708
Q13123	Q96FV9
P05556	Q13683
Q96KK5	Q9UKV0
P56524	P63104
P54619	Q9BUM1
P18084	P48357
P11142	P45983
O60359	Q15173
P10827	P61201
P16220	P32971
Q29RF7	Q9H8T0
P28566	P62879
Q8WW22	Q9P0V3
O14964	Q13596
Q13137	Q9NVV4
P21860	Q07890
Q13243	Q14683
Q6WCQ1	Q99759
O75251	P03923
Q8NEU8	Q9HCB6
P31995	P53778
O43741	P11166
Q9HCE7	Q9UII6
P0CAP1	Q8IWZ3
P08069	Q9NRA1
Q09161	Q92900
O76074	Q13976
P00403	Q07890
P04049	P62258
P22694	P26678
P15336	Q96BA8
P30260	Q9UJX5
P12931	Q8IZP0
Q9H936	Q9UNM6
Q02078	Q14934
Q96B96	Q9UGN5
Q00978	Q13287
P01215	P16473
P08107	Q15831
P01566	Q99062
O15198	Q01082
C9J798	P01111
P31943	Q14194
O43524	P22307
Q6UX04	Q70Z53
P45983	Q13873
Q7Z5Q5	Q9Y2S7
P35232	Q9UL18
P19438	Q92835
P60709	P63000
Q9HCU9	Q9UK53
Q15027	Q9HC29
P17066	Q9UNE7
O60502	P49841
Q15910	Q9H5J8
P31947	P33176
Q9UJU6	Q9ULA0
O60603	P22314
Q8IYR0	Q8WVD3
P30304	Q9UQ88
P51965	Q86UW7
P12931	Q92793
Q9H422	Q9UII5
P36578	P62987
Q99814	Q9NWT6
O95453	Q99728
O14727	P08107
O14757	P30305
P21246	Q92698
P05091	Q8TCE6
Q13224	Q5TCQ9
Q9BZL6	Q9Y483
P55060	Q13573
P62195	Q5VTR2
P11215	P13598
Q06330	Q9UK32
Q00987	Q5VVX9
O95931	Q9BSM1
P16333	Q14118
P51825	Q03111
O76093	P10721
P27348	Q99683
O43242	Q15008
O00459	Q8TCU6
Q96PN6	Q9HAV0
P08047	Q96PG8
P52952	Q9NS56
O00182	Q14624
Q02930	Q9UQM7
Q01201	Q93008
P03905	Q9UI09
Q8N5C8	Q9UHD2
Q0D2I5	Q15027
O15143	P60709
P49917	Q15233
O00141	P50395
Q9HAV0	Q9HBW0
P38405	Q8NH54
P61587	Q52LW3
O43570	Q8TC12
P46108	Q9UJV9
O14920	Q8WXC3
O00329	P15153
P06213	P51692
Q13200	Q15008
P18146	P84022
P27635	Q02878
O60925	Q93063
574033	P40763
Q01082	Q9Y3Y4
P15502	P17931
Q06830	Q6WCQ1
P56945	Q13683
O43318	P12757
O00217	O95178
O00555	P04899
P19438	Q96AG4
P18887	Q9UGP5
P68543	Q9H814
O15511	Q92747
P33992	P78527
P32243	P54253
P20618	Q9Y5K5
P00533	P24385
Q6VMQ6	Q9P2E9
O75694	P78406
Q13242	Q5JVS0
P46527	Q03164
O96019	P62805
Q96EA4	Q9P2H0
P49959	Q10586
O15264	P63211
J3KNP4	O15031
P24468	Q13547
P57678	P62304
O00329	P01112
Q8WXD5	Q9Y3F4
O14775	P30939
O00750	P00533
P13232	Q14626
P06241	P20810
O15031	P15153
P03372	P27361
P04156	P05067
Q8IUQ4	Q8NHQ8
A8K6C2	P26992
P78396	Q96AG4
P52597	Q9UL18
Q92882	Q9BV57
P01236	P23284
P49674	P62877
Q13330	Q86YP4
O75533	Q9BWJ5
O75955	P04278
P11831	P15036
P29459	Q14213
Q12981	Q9NZ43
A1X283	P48023
P27986	Q05193
Q8NAP1	Q9Y265
O60403	P32121
O75582	Q16539
P63261	Q9Y281
P08631	P12314
P63000	P85298
O96013	P18084
O75530	Q15910
P62136	Q96A32
Q96GD4	Q9UM11
Q15323	Q9ULA0
P15121	P40337
P04637	P48729
P17096	Q13315
O96020	P62877
P16499	P63211
Q13555	Q13557
P06493	Q9H1A4
O75508	O95500
O75154	Q9H0H5
P32242	Q15475
Q02363	Q5UIP0
P08195	Q9Y2Q3
O75478	Q16531
P54132	Q9BX63
P31946	P78527
P04183	Q12840
P10070	P12755
P35443	P56199
P08670	P49641
P26358	Q9NPF5
Q92730	Q96QB1
Q9NPG1	Q9UBV4
O00571	P63167
Q9UM11	Q9Y6D9
P47804	Q96EK5
P01106	Q93008
P05023	Q13976
P24394	P29350
P22392	P30153
P0C1Z6	Q9H981
P00519	Q9H0X9
Q15654	Q9Y239
P20671	Q969S8
O96019	Q9C086
Q14416	Q9UBI6
P30305	P78386
P07766	P42336
P16220	Q8WYK2
P27348	Q02241
O14965	Q49MG5
P04150	Q92922
P51531	Q9UPN9
Q9UBT6	Q9UBZ9
Q14197	Q9GZT3
P01243	Q16186
Q12933	Q9Y265
Q13404	Q8ND25
P62081	P62280
P98177	Q08999
P01137	P35442
Q96FW1	Q9H1Y0
O95072	P30153
P56279	Q13137
P22694	Q9HAV0
P18146	Q9UBY5
P53350	Q99640
Q13451	Q9Y572
O75400	Q14498
P01116	Q8N431
O43676	Q16795
P01106	P21860
P28074	Q9Y4K3
Q07889	Q5VWQ8
P61073	P62937
P61981	Q9NYL2
Q07889	Q96QB1
P30480	Q15019
O00267	Q99873
P09429	P17947
P51587	Q9BXW9
P01106	Q6PL18
P17931	Q8WUM4
P17948	Q00987
O14512	Q99650
Q00610	Q6WCQ1
P05386	P63173
P49005	Q15054
O15379	Q9BTM1
P48736	Q05655
P31943	P50616
P63000	Q05397
