#node1	node2
O60238	P32456
P61970	Q9Y383
Q96BQ3	Q9Y2X8
O43688	Q13393
P04637	P78423
O14508	Q05397
P02675	P38936
Q3SY69	Q8NEV4
P22455	Q07890
P37231	P63279
P05412	P17947
Q06432	Q969Q6
P49720	Q9BQ83
P19438	Q03135
Q13573	Q15717
Q10586	Q9UMS4
P08069	Q14344
Q9H013	Q9NYB9
P41236	P62140
P23497	Q8TAD8
Q92558	Q9Y2A7
P55211	Q01094
P33681	Q00653
P54619	Q15717
O95989	Q71U36
O43597	Q9C004
P11142	P61106
P68431	Q99549
P04183	Q9BRP4
O60506	O75569
P32246	Q9NRJ3
P17174	Q9UKE5
Q15714	Q9Y241
P01579	P15509
P01112	P15056
P15172	Q09472
O43318	Q7Z434
P67870	Q9UBF6
O75376	Q99933
P18146	Q8IUH4
P03372	Q86VZ2
O15260	Q9HAW0
P51610	Q01094
P38405	Q8NGY3
P00533	Q13393
O96008	Q9P0U1
P08913	P29992
P11169	P27540
Q8N140	Q92624
407008	P62745
O75582	P27361
Q9NZJ4	Q9Y3Q8
Q9H1I8	Q9Y2S7
P08069	Q15147
O00303	Q9Y4K3
P16278	P53350
O95467	P41586
Q9NZW5	Q9Y448
P53007	Q8IY92
P30153	P42224
Q5QNW6	Q9Y5B9
O00300	O14788
P32121	Q8NG92
O00716	Q68CP9
P22681	Q01113
P40337	Q3MHD2
P07237	Q15654
O95757	Q9Y478
P51665	Q14164
P45983	Q12968
Q9UGN5	Q9Y6M0
P32121	Q8NGF9
Q99459	Q9UJX3
P19105	P35579
Q9BVK8	Q9P2A4
P40337	Q9Y4L1
P14625	Q16665
O95831	Q15047
Q13077	Q14790
Q15022	Q15910
P49863	Q01105
O95390	Q13705
P13686	P15927
P24928	Q8TDG2
P62318	Q8TEQ6
P14672	Q9Y243
P11274	Q9ULV8
O76011	P61981
O60506	Q13573
P08138	P21583
O00232	P55036
P11021	P19838
P32121	Q8NG99
P60763	Q5T5U3
P51681	Q9HCU9
Q15370	Q96L50
P02545	Q92993
P63027	Q12846
P05556	P12931
P20226	Q00987
O14964	Q53EZ4
O60814	Q13547
P29597	P42702
P41743	Q96B18
P35626	Q5JRS4
Q04759	Q9P212
O43541	Q13485
O00175	P61073
P05976	P68133
O14508	P78552
P45985	Q9Y243
P35555	P55001
P35637	Q01130
O95400	P82279
P54284	Q13362
Q15653	Q9P1U0
P25963	Q96EB6
P52333	Q92835
Q12972	Q9UQK1
Q8N4C6	Q9Y224
O95630	Q92783
P09651	P35222
P06899	P46736
P28566	Q9UK08
P18146	P36776
P10275	P42574
P01116	Q15349
Q93009	Q9Y4K3
P50402	Q10586
P01100	P14780
P11021	Q15653
P62140	Q9NP77
P61586	Q05655
P32745	Q9UDY2
P02768	P43146
Q8TEB7	Q9NPD8
P56545	Q01196
Q969Y2	Q9NR21
P12931	Q07960
Q05209	Q07889
O75554	Q15393
P02766	P98164
Q02363	Q9NQB0
P63010	Q9H0H5
P49683	Q9Y3R0
P23443	Q53EL6
P06241	Q96NS5
Q8IU54	Q99062
P43250	P49682
O75578	P29400
O94856	P16333
P01106	Q9Y241
P31947	Q92625
P0C1H6	Q9UQL6
Q15369	Q9Y575
Q01831	Q92466
P51679	Q9C0C2
O60232	P01889
P29320	P52798
P84022	Q13952
P52948	Q5SRE5
P63272	Q9Y328
P06241	P37840
Q7Z406	Q96A32
O15121	Q53HC9
P07384	P35609
Q9UNL2	Q9Y5J5
P09382	Q08380
P30304	Q13616
P25208	P62993
P23219	P53779
P48995	Q03135
O43741	O75385
P04637	P08238
O15162	Q9H1Q7
O00303	Q7L2H7
Q02156	Q9H0R8
P01889	P29144
P18084	Q9NVD7
O00220	Q13618
O60437	Q93009
O15264	Q00610
O43156	Q96Q15
Q16659	Q9Y3A4
P32248	P48061
P25963	P49407
P23508	Q15653
P23921	Q5T3J3
P18146	Q14141
P22612	Q9H0K1
O95863	P68431
P01106	Q9NYK5
P32881	Q01344
P45984	Q9P2H0
P23284	Q9NRR5
P49716	Q9BZM5
P05129	Q9P2W3
P19440	P43490
Q13480	Q6S5L8
Q14164	Q15691
406923	P30279
O43390	O95400
P21860	Q9HCE7
Q92995	Q9BYC9
P04745	Q9NTK1
P41597	Q16663
O00213	O94985
O14497	Q8NFD5
P35568	Q13164
Q14683	Q8N3U4
A0JLT2	O43513
P06241	Q96GP6
406991	P40763
Q9BVW5	Q9UNS1
Q53HC9	Q9H8S9
Q13526	Q99640
P27707	Q9UMR2
O75800	Q9BYM8
P16871	P52907
P35268	Q9Y3U8
Q92831	Q9H3N8
Q5VTR2	Q9BT78
Q99835	Q9ULC3
P42858	Q96ST3
O43374	P62070
Q9H9G7	Q9Y657
P04637	P62877
O75578	P11047
A8TX70	P18827
Q8TBE7	Q96P50
P01303	P27487
P22695	Q14197
P60520	Q8NI08
O15197	P21673
Q13573	Q9UNM6
Q96GM8	Q9NUQ8
P01116	P15056
P42858	Q9Y3C7
Q13526	Q9UKT4
Q15018	Q9NXR7
P07195	Q9UHD2
P51681	P78560
P02549	P50552
Q93079	Q99878
Q6ZRS2	Q86X55
P07550	P12931
Q8IYT8	Q9BSB4
P00533	P07585
P42262	P62136
P06241	P12931
O14939	P01112
P09651	P61978
P39023	Q9GZN1
Q71F56	Q9NX70
P35227	Q14781
Q05655	Q5JVS0
P12956	P22415
P32969	P61313
O95208	P08581
P12931	P78329
P60763	Q9BYG4
P18754	Q7Z699
Q13153	Q9HCE7
Q14164	Q14653
O75376	Q8WUI4
P27635	P46777
P21802	P31371
O43323	P54826
Q14676	Q14683
P07333	Q99961
A8MYU2	P22694
P01889	Q00610
P38405	Q8NGZ3
P01270	P46379
Q8TB05	Q96G25
P02747	P05155
P67809	Q15365
O95400	P35637
Q14157	Q6ZVL6
P41970	P62993
P47712	Q5JWF2
P60763	Q9NPB6
O43504	Q9BVJ6
P38405	Q6IFH4
P52735	Q13573
Q15119	Q9Y243
P09874	P10144
O60508	Q9UMS4
P35227	Q8IXK0
Q6PID8	Q8IVD9
Q12888	Q13315
Q96PB7	Q99972
O75937	P07910
O60383	Q96HD1
P39023	Q9NX58
Q59EK9	Q96CW1
P0CG47	Q9UJY5
O00141	O75390
Q12933	Q9Y5U5
P01106	P23246
O00273	Q9Y4E8
P61247	Q00653
P35626	P61073
P25208	P25774
P00533	P14210
O15111	Q92851
P05386	P46779
P22694	Q9Y698
Q13191	Q16695
P27695	Q99638
O14494	Q13393
Q14344	Q3MJ16
P51532	Q92769
P18827	P22105
P08047	Q6VMQ6
Q9NZS9	Q9Y2X8
P30154	Q92736
Q99496	Q9BSM1
O43150	Q96B97
P15260	P38484
P51571	Q9BRT8
P25116	P62873
Q16539	Q9Y463
P07948	P08575
Q8ND90	Q96BZ8
P51610	Q9ULM3
P16333	Q9H9L3
P56537	Q14697
Q5T3J3	Q8N5U6
P13501	P13611
P61077	Q8N5U6
P31942	Q16659
P62136	Q9BXT2
Q9HBE5	Q9NPH9
O14867	Q16236
P13688	P29350
Q13765	Q9UKY1
P12004	Q99708
P36873	Q13315
Q13426	Q9UGP5
P22612	Q9UBI6
Q99081	Q9Y2D9
P01106	Q92993
Q13608	Q7Z412
P01106	Q9BXJ7
P01112	P63096
O75385	Q9Y4P1
P36941	Q13349
P19105	Q9Y6K9
407026	P02462
Q7L804	Q9H4M9
P01574	P26992
O60244	Q14203
O94929	P60763
P42574	P49023
O95777	P83731
P01889	P21912
O14908	P49841
O15264	P14618
P35227	Q9NPD8
O00212	Q96HP0
P38398	P68400
P05106	P29400
P78527	Q9BQA5
Q13535	Q5TGY3
P13569	P51572
P27986	Q92835
P16104	Q96L91
P07910	P98170
P09936	Q92905
P05423	Q9Y535
P11362	P21781
Q00978	Q9UI08
P07437	Q9BQE3
P34998	P43250
Q92608	Q9HBH0
P04150	P47712
P26232	P62258
P51692	Q00978
P07910	P09651
Q15788	Q96RI1
P01137	Q13018
O00410	Q401N2
Q02556	Q06124
P03989	P61769
P19793	P60763
P10275	Q9BQG0
Q13153	Q969X0
P42677	Q9Y6K9
O95749	P18146
P42338	P60763
O14920	O95786
P42345	Q9HB90
O75886	P62987
P12830	P14923
Q01094	Q92830
Q5T447	Q7Z434
P26951	Q07812
O75385	P54619
P48552	Q15834
Q13547	Q15796
P31749	P55211
P28482	P63218
P62993	Q13438
P38159	Q13243
Q66LE6	Q6NZY4
P32248	Q9UBD3
Q15326	Q15796
O43676	O95182
P32456	P51114
O43491	P42261
O00267	P19387
Q13137	Q9UBZ4
O43390	Q8IYB3
P33991	Q96CS2
Q9BYM8	Q9Y6K9
P50990	Q66LE6
Q13424	Q96G25
Q01484	Q13009
O00182	Q92905
P21802	Q9Y371
P52735	Q13094
O60359	Q9Y2T4
O75694	Q99459
Q9NPI8	Q9NVI1
P23396	P25963
P08047	P30273
Q13547	Q9Y6K1
P11488	P18545
O60508	Q01081
P25445	Q92851
P17858	Q7L5N1
P15976	P27361
Q96JB5	Q96QR1
O00144	Q15147
P62633	Q9H361
P36578	Q07020
P51679	Q9NZN8
P21964	P41220
P07996	P24593
P38398	Q5VTD9
Q969Y2	Q9NP50
O60508	Q14683
O75582	Q15910
7012	O14746
P08238	P35579
Q16385	Q969G2
P35372	P35626
Q07021	Q07955
P35626	Q8NGF9
Q96KR4	Q9NWT6
P68431	Q9HC52
O95741	Q15759
P16870	Q5T3J3
P30304	P53350
Q04759	Q86YW0
P00533	P31947
P98164	Q9Y490
Q06187	Q12933
Q92731	Q9UBK2
P01023	Q16637
P15382	P17612
O15379	P20671
P35626	Q8NGR6
P56704	Q9H1J7
P62993	Q86V48
Q13794	Q92985
O60341	P17542
O15524	P42702
P11388	P78527
Q15942	Q9H422
O60674	P05112
Q15631	Q9Y4K3
Q14919	Q6ZSZ5
Q9NWA0	Q9UPY3
P63104	Q8N142
O96019	P68133
P06401	P42336
P23470	P41240
P23760	Q13263
O00585	P51686
P02775	Q9H0R6
O15524	P48551
P04637	Q6SJ96
P09874	P49916
P0CAP2	Q9NZD4
Q14571	Q8NDB2
P30050	Q15843
O75529	Q96BN2
P05015	P15509
P35626	Q8NGG5
P18077	P62899
P54289	Q9Y2T4
P37837	Q9UKY1
Q14019	Q96BK5
P32121	P41597
P05204	P62993
P22612	Q9Y698
O75438	O96000
P01889	P22309
P61077	Q9UKV5
O60477	P10275
P31947	Q00839
Q92796	Q9NYY3
P36405	Q5T3J3
P10912	Q9HBE4
P15813	P27824
Q9UI30	Q9Y5N5
O43557	Q13490
O75569	Q9Y3U8
O75150	Q9Y4E5
P67775	Q15257
P55773	P61073
P08581	Q9H4P4
Q7L7L0	Q9UQL6
Q07889	Q9NP95
Q96MX6	Q9NPB6
Q92993	Q99832
P14625	P31749
P21246	Q9Y3C0
Q5SRE5	Q96HA1
O95467	P29274
O75970	P49716
Q12933	Q13490
P45984	Q13077
Q2MKA7	Q9H461
P62877	Q13387
O95071	Q04206
O75928	Q9Y4K3
P84022	Q9UBH0
P07996	P26006
P15509	Q9GZX6
P20366	Q8TER5
Q06124	Q8WU20
P27824	Q9Y6K9
P05556	Q17RW2
P49286	Q9P2W3
P18848	P35637
P13612	Q13683
P20226	Q8IZX4
Q13485	Q13569
P31749	P67775
A6NET4	P32121
P31939	Q96JH8
P17301	P55268
407039	O95477
Q15691	Q5JR59
P27361	P84095
O00206	P28482
P00441	P13473
P84022	Q96PU5
P01106	P41227
Q12955	Q14571
P60866	Q99547
Q14209	Q14566
P60033	Q99684
P13645	P49642
Q96B02	Q9UKV5
P21802	Q92569
Q13315	Q9Y4G8
O15151	O15350
P35227	Q96LR5
P62258	P62805
P01282	P50222
P18146	Q13118
O60258	P29317
O60282	P49841
P22460	Q96RT1
P01106	P04626
P11473	P18146
P51677	Q99731
P13688	P48436
P08575	P42768
P01889	P61970
P62993	Q70EK8
Q13315	Q9H2F5
P83916	P84243
P55774	Q13432
P62277	P62701
P14635	Q13042
100008588	P52434
Q13315	Q9NVC6
P61077	Q06587
P05231	P16471
P51812	Q9HBU1
P39019	P62241
P52565	Q99963
O60762	Q9Y5J5
P51114	Q9Y383
P16473	P84996
P61026	Q9Y4K3
Q9BTD8	Q9BWF3
Q15154	Q8TAM2
O43896	P61981
Q13432	Q15714
P10074	Q92997
Q08050	Q96GD4
406955	Q9NRR4
Q13315	Q4VCS5
P27540	Q15596
P56704	Q9H461
Q14257	Q9H0R8
P62993	Q92988
Q8IU54	Q99665
P10599	P16871
P09012	P23246
Q00532	Q9HCE7
P16471	Q9NPH9
P13500	P42224
P12931	P18433
P61981	Q13247
P01889	P26038
Q06830	Q9HCK5
Q13526	Q9GZR7
Q15834	Q5T0L3
P19438	Q9Y478
P38398	Q96RT8
P21333	Q9UKX5
Q5VTD9	Q9NXR7
P61981	Q14155
O43292	P05187
P62979	Q96PM5
P62136	Q99459
P08579	Q7RTV0
P21731	Q14344
Q86V81	Q9UBU9
O75643	P58753
P08708	P62701
693210	Q16288
Q9Y265	Q9Y4K3
P36402	Q9H6I2
P05412	P62324
O95400	Q01081
P62891	Q02878
P08238	P13639
Q13573	Q7L014
O00231	O00232
P57727	P68104
Q02363	Q02962
P21675	Q99879
P0C1H6	Q96QV6
P48549	P62879
O43187	P08138
Q17R89	Q9UK76
P35579	P51681
P06899	Q9Y6J9
P20936	Q8TAM1
P61313	P62888
P00492	Q9NRG1
P49902	Q86TA1
P51692	P67775
P46527	Q96PM5
P59768	Q8NFM4
Q13315	Q9UNS2
P62277	Q99558
P0C5Y9	Q8WUI4
P07437	Q5VVJ2
P46777	Q15843
P05113	P24394
O43927	P51677
P26010	Q13477
Q06330	Q9UM47
Q13315	Q15334
P02763	P05121
O14757	O15151
O75582	P63104
P04637	P49815
O14908	Q9H9D4
P07437	Q04206
Q9H6S1	Q9NVV4
P62280	P63220
P19878	P47712
494327	O75896
Q6P2C8	Q9UHV7
P19438	Q06124
O94762	P19388
P62851	Q9HAU5
P17544	P35638
O14745	P09619
Q16539	Q8IW41
Q9BTT4	Q9Y3C7
O95232	Q9BXR5
P01614	P01871
P61981	P78386
P62310	P68104
O75674	Q5JPE7
P61764	Q00535
P49716	Q9UDY8
O00329	P17948
P51948	Q5UIP0
O94906	Q9UQ35
Q04726	Q08117
Q13535	Q96H79
P68036	Q6Q0C0
P52272	Q14103
P00519	Q08209
Q9NWA0	Q9Y2R4
P49841	Q14397
P10275	Q15466
Q13315	Q96Q15
P27695	Q9Y4K3
P50148	Q9BX93
Q15853	Q9UM73
P05019	P51812
P14866	P55795
Q9HB71	Q9UFF9
Q9NZH5	Q9UJX2
Q04206	Q9UDY8
O43255	P63279
P50750	P51825
O15111	P19105
P03886	P17568
P45983	Q9P219
P20073	Q9UKR5
P23760	P62993
Q01970	Q9UP38
P53778	Q05397
Q9UK33	Q9Y620
P05230	P67870
406906	Q9BUM1
Q0VG06	Q9NVI1
O95782	P63010
P04406	P54259
P11172	Q9UKI2
O15551	P56880
O95433	Q7Z408
P31431	P35442
O43318	Q13748
O15394	P13591
Q8NHZ8	Q9UM11
P10244	P28749
O94817	Q15323
Q07654	Q16665
P29374	Q13547
P36956	Q05513
P48729	Q86X55
P54284	Q06190
P10301	P42336
P01116	P48736
P10747	P42338
407047	Q9H9Z2
P05556	Q14773
Q01130	Q15287
O43583	Q9ULC4
Q00526	Q16667
P63208	Q5XUX0
P15880	P63220
A2IXV5	P12318
P01579	P40189
Q13573	Q9NRL2
P02768	P02775
O14544	Q13261
O14543	P16471
P15692	P98160
Q00325	Q9Y572
Q07912	Q13177
P02776	P49682
O43353	P45983
P25963	Q13547
P36873	Q8TCU5
P62837	Q12899
Q09161	Q15428
P50616	P61978
P49768	Q9NQB0
Q14332	Q93098
Q06323	Q12873
P99999	Q9H2V7
P08238	P10275
P01137	P37173
P62241	Q13233
Q02556	Q14330
P53350	Q9UBS3
P42229	Q13469
P20226	Q06587
P11940	Q8NDV7
P60709	Q9Y281
P16383	Q9H2G2
P00533	P08620
O14933	O43164
Q16620	Q6S5L8
A8MW92	P68431
O15397	Q9HCK5
P41182	Q9BXW6
O94983	P52952
O75554	Q01844
P42345	Q8TCU6
P13667	P30101
P04141	P17181
O60840	Q12791
Q15029	Q9BUQ8
Q9BVJ6	Q9Y2I6
P03901	P03923
O15105	Q9Y3F4
P16234	Q92915
O75340	P50995
O43660	P52272
P19012	P35900
P14778	Q9NWZ3
Q8NFH3	Q99567
Q9UM54	Q9Y3C5
P04629	Q92529
P08134	Q9P286
P22694	Q03060
P16050	P26196
P19387	Q6P2C8
P62987	Q07820
P19838	P78556
P35080	P49771
Q86TJ2	Q9H0E3
Q9BYE7	Q9Y478
P15248	Q14627
O95865	Q9NYL2
O60244	O95402
554213	Q15329
Q5VZM2	Q9UHA4
P07550	P35626
P55196	Q9Y624
Q16363	Q7L5N1
P08631	Q15393
P32121	Q15615
P43146	P56270
P07996	Q16610
P51692	Q13469
O60739	Q13526
O75015	Q8N149
O95782	P35659
P01579	P26951
P04637	Q99873
Q9HAU0	Q9Y2H5
P23246	Q9H0L4
Q9NR46	Q9UQ80
P05129	Q9H492
P00966	Q9H8T0
P63104	Q99961
P45984	P60953
Q15208	Q9Y5B0
P21815	Q05397
P18146	P35711
P17948	Q9ULV8
O00487	P17980
P30613	Q2TB90
P30101	Q9HBG4
Q13077	Q99558
P62304	Q8TEQ6
O94907	Q99750
P09603	P17948
Q8N163	Q9BUV8
P53803	Q9BTT4
P42766	P62424
P00747	P08697
P20226	Q53T94
O00329	P50150
P61073	P80075
O75159	P31785
P39023	P62987
P50914	P61353
Q15024	Q9NQT5
P05771	Q9NYF0
O75899	P04899
P02768	Q15714
Q13137	Q15038
O00422	Q6NXE6
Q16777	Q96A08
P61981	P63104
P35998	P62195
Q13118	Q96J02
P0C1Z6	P60709
Q13315	Q86T24
P78371	Q9H0Y0
P27540	P35869
P29459	Q5VWK5
P45984	Q99956
P11940	Q9BWF3
Q15428	Q99729
P01116	P42771
Q13393	Q15382
P04183	Q7Z4K8
P26378	Q9NZI8
A4D0S4	P05106
P13945	Q15835
P19419	P31152
Q8IVF5	Q99962
P05019	Q15349
P01106	Q14444
P61289	Q6ZVK8
Q07869	Q9Y618
P23760	P50222
O00255	P14136
P62140	P62955
P63165	Q92766
P08069	P10767
Q504T8	Q9NYL2
P02462	P26012
P06454	Q99623
P02747	P0C0L5
P04004	P13612
P18564	P56539
P11473	Q9H0R8
P41227	Q15047
P34969	P63092
P40197	Q8WYR1
P01106	Q9UQ13
P08700	Q99650
P09884	Q7L590
O14610	P04899
P09471	Q8WYR1
A8MTJ3	P59535
Q04771	Q16539
Q12834	Q14532
P52657	P62380
114614	Q13158
P27361	Q99717
P12524	P61244
O43463	Q09028
P17213	P17947
Q13422	Q9UKS7
P21675	Q99504
Q14197	Q8IXM3
P41091	P60228
P19838	P51817
P51817	Q8WXS5
P0CL85	P12980
O00305	P67775
O43521	P17612
P18827	P34741
Q92574	Q9BXF6
P48304	Q6UXH1
P01567	Q99650
P52434	Q9NVU0
P62837	Q9NS56
P51668	Q8N5U6
O95685	Q96SB3
P62633	Q9BUJ2
P62805	Q15596
O15530	P23470
P10636	Q9NY61
P19438	Q13233
O95467	P16473
P62993	Q9ULW0
Q07157	Q9UKL4
P05412	P15408
P62070	Q13671
P0CG47	Q29983
O75676	P68400
Q6VY07	Q9NZ52
Q16659	Q9H7H0
P62263	P63220
O95931	P35226
Q01344	Q969D9
P19438	P60709
P04183	Q13107
Q13541	Q9BSL1
Q14695	Q8N357
Q13098	Q9H9Q2
Q92922	Q96GM5
P48552	Q9NS56
P42262	P62140
Q16576	Q9Y5X4
P22301	Q13568
P31947	Q9P0L2
P63104	Q6PKG0
Q16576	Q9H7L9
Q5T3J3	Q9UHY1
P10721	Q07889
Q6ZT07	Q92560
Q08209	Q9BS18
P17612	Q02930
O00459	P41743
O14965	P36873
P08238	Q13541
P38936	Q12857
Q99832	Q9H7D0
Q04864	Q9NPF7
A6NHL2	Q9BUF5
P23508	P62633
P27361	P54829
P19438	Q04206
Q96QD5	Q99459
P61247	P62847
O75689	P19338
P48736	P54710
P38398	Q09028
O95249	P46459
P01303	P08908
P61326	P61981
P27986	P50151
P36897	Q96F10
P01106	Q9NYJ1
P17676	P80188
Q02878	Q9UNX3
O14625	P19838
P07737	Q04724
P22694	Q08828
P15311	P34741
Q6FI13	Q8WUI4
P42224	Q06124
P18146	Q96PG8
P63261	Q8TDR0
406937	P01106
P11474	P51843
Q8NAP1	Q9Y265
P30084	P63104
Q16543	Q9Y4K3
P27361	Q9BSF8
P36873	Q99941
P18564	P20908
Q07890	Q13009
P10153	P17947
P08138	P10767
P52789	Q9UMX0
P15813	P61769
P32969	P83881
P49902	Q6ZVK8
O95948	Q9UL17
Q15435	Q16659
P26373	P62424
P15529	Q9HD26
P68104	Q16363
P62136	Q08289
P54920	Q9NQC3
P08238	Q9Y617
P10415	P17275
51776	P31947
P36406	Q9H4K1
P42830	P46092
P11802	P12004
Q03135	Q06124
P24941	P30260
P08754	P25929
P54762	Q8N806
O75937	P26599
Q13547	Q66K89
P10916	Q9H1R3
P29353	P46940
P01106	Q9H0A0
Q15287	Q9C0J8
P27482	Q08209
P14784	P43405
P27635	P61353
P02775	P25024
P18031	Q9Y4H2
P24385	Q13547
Q86YC2	Q9BX63
Q13765	Q9GZT6
P28562	P61024
Q15393	Q9Y3C6
P41217	Q04206
A0JLT2	Q9BUE0
P30153	P36897
P30939	Q9UK08
Q15915	Q92858
P21673	Q9Y383
P54819	Q14164
Q8NEA6	Q9UMX1
P52948	Q96KG9
O94855	Q15437
P08754	P50150
P24941	P51946
P63092	Q7RTX0
O43809	O94913
P04179	P29372
Q05639	Q15843
P01106	Q13576
Q14257	Q9Y4K3
P84022	Q92985
P36873	Q05586
Q6P1M0	Q9HC24
Q7Z4H7	Q9H6D7
O14933	O75369
P19875	P25024
Q16678	Q9UBE0
P11217	Q9NZT1
P68400	Q9UNN5
P17301	P60709
Q96SB4	Q9NR30
P51168	Q96PU5
Q8TDR0	Q9NRI5
P53420	Q9UKX5
Q8WXS5	Q9UQM7
P10415	Q9C0C7
P19404	P56181
Q6FI13	Q99879
P48736	Q6ZUJ8
P04264	Q86UA6
A6NHL2	O14576
